# Copyright (c) 2026 GiantAccel, LLC
# XStats modifications Copyright (C) 2026 ysicing
# SPDX-License-Identifier: AGPL-3.0-or-later AND MIT
暂无数据	暫無資料
已推出“{}”	已推出“{}”
已是最新版本	已是最新版本
已用	已用
已用 {} · {}	已用 {} · {}
已用内存占比	已用內存佔比
已记录的数据会从本机删除，无法恢复。	已記錄的數據會從本機刪除，無法恢復。
已运行	已運行
已运行 	已運行 
已连接	已連接
已连接的键盘、鼠标、耳机等电量低于 15%，每 10 分钟检查一次	已連接的鍵盤、鼠標、耳機等電量低於 15%，每 10 分鐘檢查一次
已选 {} 项 · {}	已選 {} 項 · {}
已释放	已釋放
已释放 {} 缓存内存	已釋放 {} 緩存內存
布局	佈局
干净	乾淨
平均	平均
平均 {} · 峰值 {}{}	平均 {} · 峰值 {}{}
平均 {} · 最高 {}	平均 {} · 最高 {}
平均温度	平均溫度
平均负载除以核心数：小于 1 表示任务不用排队，大于 1 表示有任务在等 CPU	平均負載除以核心數：小於 1 表示任務不用排隊，大於 1 表示有任務在等 CPU
广播 IP	廣播 IP
序列号	序列號
应用	應用
应用 UI 语言	應用 UI 語言
应用 {} / 辅助工具 {}	應用 {} / 輔助工具 {}
应用与勾选的 {} 项残留会移到废纸篓，约 {}。清空废纸篓前都可以放回。	應用與勾選的 {} 項殘留會移到廢紙簍，約 {}。清空廢紙簍前都可以放回。
应用包内未找到辅助工具，请使用完整构建的 XStats.app	應用包內未找到輔助工具，請使用完整構建的 XStats.app
应用并覆盖	應用並覆蓋
应用拒绝退出，可以试试强制退出	應用拒絕退出，可以試試強制退出
应用数据	應用數據
应用日志与崩溃报告	應用日誌與崩潰報告
应用本体	應用本體
应用正在运行，请先退出	應用正在運行，請先退出
应用程序文件夹	應用程序文件夾
应用缓存	應用緩存
应用远端设置？	應用遠端設置？
应用退出或断开连接时，自动恢复风扇与睡眠设置	應用退出或斷開連接時，自動恢復風扇與睡眠設置
废纸篓	廢紙簍
延迟	延遲
开	開
开关防休眠	開關防休眠
开发	開發
开发构建不支持在线升级	開發構建不支持在線升級
开发构建不支持在线升级，请下载安装包	開發構建不支持在線升級，請下載安裝包
开发版	開發版
开发者	開發者
开启	開啓
开启 / 关闭“合盖不睡眠”（等同 pmset disablesleep）	開啓 / 關閉“合蓋不睡眠”（等同 pmset disablesleep）
开启后图标出现在菜单栏；按住 ⌘ 键拖动图标可以调整位置	開啓後圖標出現在菜單欄；按住 ⌘ 鍵拖動圖標可以調整位置
开始分析	開始分析
开始探测	開始探測
开机以来	開機以來
开机后上传	開機後上傳
开机后下载	開機後下載
开机后自动在菜单栏显示 XStats	開機後自動在菜單欄顯示 XStats
异常断电	異常斷電
弹窗显示	彈窗顯示
强冷	強冷
强制刷新：忽略缓存，立即重新查询公网 IP 与归属地	強制刷新：忽略緩存，立即重新查詢公網 IP 與歸屬地
强制退出	強制退出
归属地	歸屬地
归属地数据来自	歸屬地數據來自
当前 {} · 发布于 {} · {} · {}	當前 {} · 發佈於 {} · {} · {}
当前为临时签名的开发构建，辅助工具只能校验应用标识。使用 Developer ID 证书构建后会自动启用团队校验。	當前為臨時簽名的開發構建，輔助工具只能校驗應用標識。使用 Developer ID 證書構建後會自動啓用團隊校驗。
当前效果（实时数据）	當前效果（實時數據）
当前版本	當前版本
当前版本 {}	當前版本 {}
当前版本 {} · {} · {}	當前版本 {} · {} · {}
当前用户	當前用戶
录制快捷键	錄制快捷鍵
影音	影音
循环 {} 次	循環 {} 次
循环次数	循環次數
微信	微信
忙	忙
快捷开关	快捷開關
快照名称格式不认识，没有删除	快照名稱格式不認識，沒有刪除
性能核	性能核
总占用	總佔用
总览	總覽
恢复系统睡眠失败：{}	恢復系統睡眠失敗：{}
我的	我的
截图已输出到 {}	截圖已輸出到 {}
所属应用：{}（{}）	所屬應用：{}（{}）
所有内容先移到废纸篓。	所有內容先移到廢紙簍。
所有指标合成一个图标，点击弹出状态总览，可切到各项详情	所有指標合成一個圖標，點擊彈出狀態總覽，可切到各項詳情
所有检测目标都连不上。请检查网络连接，或者代理软件是否正常运行。	所有檢測目標都連不上。請檢查網絡連接，或者代理軟件是否正常運行。
所有用户	所有用戶
所有用户与系统级的启动项需要管理员权限，请在系统设置的登录项中管理	所有用戶與系統級的啓動項需要管理員權限，請在系統設置的登錄項中管理
所有磁盘合计	所有磁盤合計
手动	手動
手动下载	手動下載
打包版本、系统与辅助工具状态、主要设置、最近 3 天的运行日志和崩溃报告，反馈问题时附上；会去掉序列号、IP 与硬件地址	打包版本、系統與輔助工具狀態、主要設置、最近 3 天的運行日誌和崩潰報告，反饋問題時附上；會去掉序列號、IP 與硬件地址
打包生成的 .xcarchive，删除后无法重新符号化旧版本崩溃日志	打包生成的 .xcarchive，刪除後無法重新符號化舊版本崩潰日誌
打开 SMC 失败 ({})	打開 SMC 失敗 ({})
打开 XStats	打開 XStats
打开 XStats 主窗口	打開 XStats 主窗口
打开登录项设置	打開登錄項設置
打开网络详情时向 Cloudflare（1.1.1.1）或 ipify 查询一次公网地址，10 分钟内不重复请求；归属地、ASN、网络类型与纯净度由这台 Mac 直接向 cleanip.io 查询，只发送公网地址	打開網絡詳情時向 Cloudflare（1.1.1.1）或 ipify 查詢一次公網地址，10 分鐘內不重復請求；歸屬地、ASN、網絡類型與純淨度由這台 Mac 直接向 cleanip.io 查詢，只發送公網地址
打开进程页	打開進程頁
打开通知设置	打開通知設置
托管	托管
执行中	執行中
扫描中	掃描中
扫描中…	掃描中…
扫描于 	掃描於 
抖动	抖動
抖音	抖音
折线历史	折線歷史
折线是最近 30 次采样（约 1 分钟）的走势	折線是最近 30 次採樣（約 1 分鐘）的走勢
拷贝	拷貝
拷贝 PID	拷貝 PID
拷贝 PID {}	拷貝 PID {}
持续时间	持續時間
按下快捷键…	按下快捷鍵…
按单核满载为 100% 计：{}	按單核滿載為 100% 計：{}
按应用	按應用
按应用汇总	按應用匯總
按文件夹	按文件夾
按系统代理访问国际网站	按系統代理訪問國際網站
按系统休眠	按系統休眠
按规则分流	按規則分流
按进程	按進程
换一台 Mac 登录后，菜单栏、外观、通知与快捷键等偏好会自动恢复。不登录也能使用全部功能。	換一台 Mac 登錄後，菜單欄、外觀、通知與快捷鍵等偏好會自動恢復。不登錄也能使用全部功能。
换入 / 换出	換入 / 換出
掌托	掌托
排队程度	排隊程度
探测目标	探測目標
探针一直没有返回结果，稍后再试	探針一直沒有返回結果，稍後再試
探针数量，一个探针占一次额度	探針數量，一個探針佔一次額度
接入 Cloudflare 的网站能实测出口，其余按国内 / 国际规则推断	接入 Cloudflare 的網站能實測出口，其餘按國內 / 國際規則推斷
接口	接口
接通电源	接通電源
推出	推出
推出中…	推出中…
推断	推斷
搜索名称、PID 或用户	搜索名稱、PID 或用戶
搜索应用	搜索應用
搜索语言	搜索語言
撤销	撤銷
收起	收起
改回开机后累计	改回開機後累計
政府	政府
教育网	教育網
散热模式	散熱模式
数据	數據
数据来源	數據來源
整体风格	整體風格
整体风格套用到所有项目。想让某个项目不一样，在下面“显示项目”里给它单独选一种，比如 CPU 用圆环、风扇用数字。	整體風格套用到所有項目。想讓某個項目不一樣，在下面“顯示項目”里給它單獨選一種，比如 CPU 用圓環、風扇用數字。
整机	整機
整机 {}	整機 {}
整机功耗	整機功耗
文件系统检查	文件系統檢查
文件系统结构完好，没有发现错误	文件系統結構完好，沒有發現錯誤
新版本未通过 Apple 公证检查，已放弃安装	新版本未通過 Apple 公證檢查，已放棄安裝
新版本需要 macOS {} 或更高版本	新版本需要 macOS {} 或更高版本
无	無
无 Bundle ID	無 Bundle ID
无法创建电源断言（{}）	無法創建電源斷言（{}）
无法创建签名要求	無法創建簽名要求
无法打开	無法打開
无法打开登录窗口	無法打開登錄窗口
无法推出“{}”：{}	無法推出“{}”：{}
无法确认是否经过代理	無法確認是否經過代理
无法移到废纸篓：{}	無法移到廢紙簍：{}
无法读取	無法讀取
无法读取签名	無法讀取簽名
无法连接 WebDAV，请检查网络、地址和 HTTPS 证书	無法連接 WebDAV，請檢查網絡、地址和 HTTPS 證書
无法连接辅助工具	無法連接輔助工具
无法连接辅助工具：{}	無法連接輔助工具：{}
无需清理	無需清理
日志与崩溃报告	日誌與崩潰報告
显卡信息	顯卡信息
显示 / 隐藏主窗口	顯示 / 隱藏主窗口
显示 {} 项	顯示 {} 項
显示为 {}×{}	顯示為 {}×{}
显示名称：{}	顯示名稱：{}
显示器	顯示器
显示序列号	顯示序列號
显示项目	顯示項目
暂时没有拿到评分，稍后会再试	暫時沒有拿到評分，稍後會再試
更新内容	更新內容
更省电，负责后台和轻量任务	更省電，負責後台和輕量任務
替换后未找到应用	替換後未找到應用
替换应用失败：{}	替換應用失敗：{}
最低 {} · 最高 {} · 目标 {} RPM	最低 {} · 最高 {} · 目標 {} RPM
最大的文件	最大的文件
最小化	最小化
最强	最強
最忙的核心	最忙的核心
最快，重活优先交给它们	最快，重活優先交給它們
最近 24 小时	最近 24 小時
最近 60 秒	最近 60 秒
最近没有应用在读写磁盘	最近沒有應用在讀寫磁盤
最近的内存压力走势	最近的內存壓力走勢
最近错误	最近錯誤
最高	最高
最高 / 平均	最高 / 平均
最高温度	最高溫度
服务器在 getopenstats.com，不上传任何监控数据；随时可以删除。	服務器在 getopenstats.com，不上傳任何監控數據；隨時可以刪除。
服务器返回 {}	服務器返回 {}
服务器返回的数据格式不正确	服務器返回的數據格式不正確
未使用	未使用
未使用代理	未使用代理
未保存的内容可能会丢失。强制退出会立即结束，不给应用保存的机会。	未保存的內容可能會丟失。強制退出會立即結束，不給應用保存的機會。
未发现	未發現
未安装	未安裝
未完成的下载	未完成的下載
未开启，Mac 按系统设置休眠	未開啓，Mac 按系統設置休眠
未找到 AppleSMC 服务	未找到 AppleSMC 服務
未检出	未檢出
未检测到可调节的风扇	未檢測到可調節的風扇
未检测到风扇	未檢測到風扇
未知状态	未知狀態
未签名或临时签名	未簽名或臨時簽名
未签名（开发构建）	未簽名（開發構建）
未设置	未設置
未连接	未連接
未连接网络	未連接網絡
本地 IPv4	本地 IPv4
本地 IPv6	本地 IPv6
本地快照	本地快照
本地用量	本地用量
本机 IP 这一小时还剩 {}/{} 次探针额度	本機 IP 這一小時還剩 {}/{} 次探針額度
本机信息	本機信息
本机宽带	本機寬帶
本机网络	本機網絡
本机设置已上传	本機設置已上傳
本次用掉 {}	本次用掉 {}
机型	機型
机型标识符	機型標識符
机房	機房
机房 IP	機房 IP
极好	極好
极高风险	極高風險
构建	構建
查看	查看
查看{}详情	查看{}詳情
查看全部进程	查看全部進程
查看包含的项目	查看包含的項目
查看完整更新日志	查看完整更新日誌
查看清理日志	查看清理日誌
查询中…	查詢中…
查询公网 IP	查詢公網 IP
查询已关闭	查詢已關閉
柱状历史	柱狀歷史
标签与数值同一行，最易读	標籤與數值同一行，最易讀
标识	標識
核心	核心
核心 {}	核心 {}
核心 {}（{}）· {}	核心 {}（{}）· {}
核心分工	核心分工
核心数	核心數
核心最高温度；余量是离 100°C 还差多少度，越接近 0 越可能因过热降频	核心最高溫度；餘量是離 100°C 還差多少度，越接近 0 越可能因過熱降頻
核心热力图	核心熱力圖
核心负载	核心負載
检查	檢查
检查 VPN 与代理是否生效、各网站从哪个出口出去	檢查 VPN 與代理是否生效、各網站從哪個出口出去
检查中…	檢查中…
检查完成，但没有得到明确结论	檢查完成，但沒有得到明確結論
检查更新	檢查更新
检查更新…	檢查更新…
检查更新失败	檢查更新失敗
检查未能完成（退出码 {}）	檢查未能完成（退出碼 {}）
检测中 {}/{}	檢測中 {}/{}
检测到 {}，但测试的网站都在直连，没有经过代理出口。	檢測到 {}，但測試的網站都在直連，沒有經過代理出口。
模式	模式
模拟器	模擬器
模拟器缓存	模擬器緩存
正在上传设置…	正在上傳設置…
正在下载	正在下載
正在下载设置…	正在下載設置…
正在使用	正在使用
正在修改 DNS…	正在修改 DNS…
正在同步	正在同步
正在同步…	正在同步…
正在安装，完成后 XStats 会自动重启。	正在安裝，完成後 XStats 會自動重啓。
正在导出…	正在導出…
正在导出诊断信息…	正在導出診斷信息…
正在扫描应用…	正在掃描應用…
正在收集走势…	正在收集走勢…
正在本机生成…	正在本機生成…
正在查找残留…	正在查找殘留…
正在查询…	正在查詢…
正在核对启动盘的文件系统结构，通常几秒到几十秒	正在核對啓動盤的文件系統結構，通常幾秒到幾十秒
正在核对校验值、开发者签名与 Apple 公证…	正在核對校驗值、開發者簽名與 Apple 公證…
正在检查…	正在檢查…
正在检查更新	正在檢查更新
正在检测出口与分流…	正在檢測出口與分流…
正在测 {}/{}	正在測 {}/{}
正在测上行	正在測上行
正在测下行	正在測下行
正在测延迟	正在測延遲
正在清理…	正在清理…
正在移除…	正在移除…
正在统计…	正在統計…
正在统计各进程流量…	正在統計各進程流量…
正在计算可清理空间	正在計算可清理空間
正在读取 SMART 信息；外置磁盘或不支持 NVMe SMART 的磁盘不显示	正在讀取 SMART 信息；外置磁盤或不支持 NVMe SMART 的磁盤不顯示
正在读取…	正在讀取…
正在读取传感器…	正在讀取傳感器…
正在读取进程…	正在讀取進程…
正在读取风扇…	正在讀取風扇…
正在释放…	正在釋放…
正常	正常
此刻各核心的占用；超过 60% 变橙色、85% 变红色	此刻各核心的佔用；超過 60% 變橙色、85% 變紅色
此设备没有可调节的风扇	此設備沒有可調節的風扇
每个应用占整机 CPU 的比例：{} 个核心全部跑满为 100%，与顶部的总占用是同一把尺子。鼠标悬停在数值上可以看按单核计的占用（活动监视器的算法）	每個應用佔整機 CPU 的比例：{} 個核心全部跑滿為 100%，與頂部的總佔用是同一把尺子。鼠標懸停在數值上可以看按單核計的佔用（活動監視器的算法）
每个指标一个图标，点击弹出该项详情	每個指標一個圖標，點擊彈出該項詳情
每分钟把主要指标的平均值与峰值写入本机数据库，保留 7 天，不上传	每分鐘把主要指標的平均值與峰值寫入本機數據庫，保留 7 天，不上傳
每核 {}	每核 {}
每根柱子一个核心，按核心类型着色	每根柱子一個核心，按核心類型著色
每点 {}	每點 {}
每秒让 CPU 从空闲中唤醒的次数，越高越耗电	每秒讓 CPU 從空閒中喚醒的次數，越高越耗電
每秒读写磁盘的字节数	每秒讀寫磁盤的字節數
每行一个核心（共 {} 个），每列一次采样，颜色越深越忙；右侧粗条是此刻的占用	每行一個核心（共 {} 個），每列一次採樣，顏色越深越忙；右側粗條是此刻的佔用
每项独立	每項獨立
比 30 秒前低 {}%	比 30 秒前低 {}%
比 30 秒前高 {}%	比 30 秒前高 {}%
永久删除废纸篓中的内容，无法恢复	永久刪除廢紙簍中的內容，無法恢復
沙盒容器	沙盒容器
没有匹配的语言	沒有匹配的語言
没有匹配的进程	沒有匹配的進程
没有启动项	沒有啓動項
没有已连接的蓝牙设备	沒有已連接的藍牙設備
没有检测到 VPN 或系统代理，所有流量都从本机网络直接出去。	沒有檢測到 VPN 或系統代理，所有流量都從本機網絡直接出去。
没有检测到显示器	沒有檢測到顯示器
没有电池	沒有電池
没有移动任何文件{}	沒有移動任何文件{}
没有超过 50 MB 的文件	沒有超過 50 MB 的文件
流量历史	流量歷史
流量经过 {}，系统 DNS 可能由它接管，修改后不一定生效。	流量經過 {}，系統 DNS 可能由它接管，修改後不一定生效。
浅色	淺色
浅色菜单栏预览	淺色菜單欄預覽
测延迟	測延遲
测本机宽带、国内分省三网延迟与全球节点	測本機寬帶、國內分省三網延遲與全球節點
测试的网站都经 {} 的{}，没有暴露本机网络的地址。	測試的網站都經 {} 的{}，沒有暴露本機網絡的地址。
测速	測速
浏览器	瀏覽器
淘宝	淘寶
深色	深色
深色菜单栏预览	深色菜單欄預覽
清理	清理
清理中…	清理中…
清理可回收的缓存内存（需要管理员授权或辅助工具）	清理可回收的緩存內存（需要管理員授權或輔助工具）
清理所选 {}	清理所選 {}
清空废纸篓	清空廢紙簍
清除	清除
清除…	清除…
清除全部历史记录？	清除全部歷史記錄？
清除历史	清除歷史
清除快捷键	清除快捷鍵
清除搜索	清除搜索
温度	溫度
温度与风扇	溫度與風扇
温度传感器	溫度傳感器
温度单位	溫度單位
满载	滿載
滥用记录	濫用記錄
点击拷贝	點擊拷貝
版本	版本
版本 {}	版本 {}
版本 {}{}	版本 {}{}
版本是 {}，清单写的是 {}	版本是 {}，清單寫的是 {}
版本清单格式不正确	版本清單格式不正確
物理地址	物理地址
状态	狀態
状态圆点	狀態圓點
状态总览	狀態總覽
状态正常	狀態正常
状态良好	狀態良好
现在	現在
现在没有本地快照	現在沒有本地快照
用 Apple 智能解释	用 Apple 智能解釋
用户	用戶
用户 {}	用戶 {}
用户名	用戶名
用户资源库	用戶資源庫
用系统图标代替文字标签	用系統圖標代替文字標籤
由 Apple 智能在这台 Mac 上生成，不联网；内容可能不准确，结束进程前请自行确认。	由 Apple 智能在這台 Mac 上生成，不聯網；內容可能不準確，結束進程前請自行確認。
由 SMC 与系统能耗统计读取；新款芯片不提供可靠的 CPU 单独功耗	由 SMC 與系統能耗統計讀取；新款芯片不提供可靠的 CPU 單獨功耗
由 macOS 调节	由 macOS 調節
由辅助工具执行	由輔助工具執行
电池	電池
电池 {}	電池 {}
电池供电	電池供電
电池健康	電池健康
电池健康度下降	電池健康度下降
电池充电	電池充電
电池放电	電池放電
电池最大容量为 {}，续航会明显缩短。可以在“系统设置 › 电池”查看是否建议维修。	電池最大容量為 {}，續航會明顯縮短。可以在“系統設置 › 電池”查看是否建議維修。
电池最大容量低于 80%，每 30 天最多提醒一次	電池最大容量低於 80%，每 30 天最多提醒一次
电池温度	電池溫度
电池电量	電池電量
电池设置	電池設置
电源	電源
电源供电	電源供電
电源输入	電源輸入
电源适配器{}	電源適配器{}
电量	電量
电量下限	電量下限
电量与充电状态；没有电池的 Mac 显示蓝牙设备电量	電量與充電狀態；沒有電池的 Mac 顯示藍牙設備電量
电量低于 {}%，已关闭合盖运行	電量低於 {}%，已關閉合蓋運行
电量历史	電量歷史
电量条	電量條
登录以同步设置	登錄以同步設置
登录启动项	登錄啓動項
登录回调不正确	登錄回調不正確
登录已失效，请重新登录	登錄已失效，請重新登錄
登录时启动	登錄時啓動
登录时运行	登錄時運行
登录项设置	登錄項設置
百度	百度
监控	監控
目标转速	目標轉速
直连	直連
相当于“磁盘工具”里的急救，但只检查不修改：核对启动盘的目录结构、文件分配与快照元数据是否一致。	相當於“磁盤工具”里的急救，但只檢查不修改：核對啓動盤的目錄結構、文件分配與快照元數據是否一致。
省份	省份
确认清理	確認清理
确认通知能正常显示	確認通知能正常顯示
磁盘	磁盤
磁盘已用 {}	磁盤已用 {}
磁盘报告了严重警告，建议尽快备份	磁盤報告了嚴重警告，建議盡快備份
磁盘清理	磁盤清理
磁盘空间不足	磁盤空間不足
磁盘空间偏紧	磁盤空間偏緊
社交	社交
移到废纸篓	移到廢紙簍
移到废纸篓？	移到廢紙簍？
移动网络	移動網絡
移动网络 IP	移動網絡 IP
移动运营商	移動運營商
空	空
空格	空格
空闲	空閒
空间占用	空間佔用
窗口	窗口
窗口状态	窗口狀態
立即切换；显示器、应用名称等由系统提供的文字在下次启动时切换	立即切換；顯示器、應用名稱等由系統提供的文字在下次啓動時切換
立即同步	立即同步
竖向电量条表示当前占用比例	竪向電量條表示當前佔用比例
等待批准	等待批准
等待选择	等待選擇
签名团队	簽名團隊
签名方：{}	簽名方：{}
签名校验未通过：{}	簽名校驗未通過：{}
粘贴	粘貼
系统	系統
系统代理	系統代理
系统或其他用户的进程，XStats 不提供结束	系統或其他用戶的進程，XStats 不提供結束
系统服务	系統服務
系统正在把内存写到磁盘，可能会变慢。可以关掉占用大的应用。	系統正在把內存寫到磁盤，可能會變慢。可以關掉佔用大的應用。
系统版号	系統版號
系统电池设置…	系統電池設置…
系统级资源库（第三方驱动、辅助工具或后台服务）	系統級資源庫（第三方驅動、輔助工具或後台服務）
系统维护	系統維護
系统自动	系統自動
系统自带的应用不能卸载	系統自帶的應用不能卸載
系统调节	系統調節
累计写入	累計寫入
累计读取	累計讀取
繁忙	繁忙
纯净度 {} 分	純淨度 {} 分
纯净度看信誉、来路、邻居与网络类型四项；机房 IP 常见信誉高、来路和类型偏低。数据来自 cleanip.io	純淨度看信譽、來路、鄰居與網絡類型四項；機房 IP 常見信譽高、來路和類型偏低。數據來自 cleanip.io
线程	線程
线程 {}	線程 {}
线程数（只能读取自己的进程）	線程數（只能讀取自己的進程）
经 Cloudflare {} 边缘节点	經 Cloudflare {} 邊緣節點
经 {}	經 {}
经 {} 直接连接	經 {} 直接連接
经代理	經代理
结束 {} 失败：{}	結束 {} 失敗：{}
结束“{}”？	結束“{}”？
结束它会注销当前用户，已禁止	結束它會註銷當前用戶，已禁止
结束进程…	結束進程…
统一内存（CPU 与 GPU 共享）	統一內存（CPU 與 GPU 共享）
统计家目录里每个文件夹占多少空间，并找出最大的文件；只读取大小，不改动任何文件。文件多时需要几十秒。	統計家目錄里每個文件夾佔多少空間，並找出最大的文件；只讀取大小，不改動任何文件。文件多時需要幾十秒。
继续运行	繼續運行
绿色正常、橙色偏高（60% 以上）、红色很高（85% 以上）	綠色正常、橙色偏高（60% 以上）、紅色很高（85% 以上）
缓存	緩存
缓存与日志直接删除，下载内容移到废纸篓。	緩存與日誌直接刪除，下載內容移到廢紙簍。
缓存也先移到废纸篓	緩存也先移到廢紙簍
编辑	編輯
网站	網站
网站分流	網站分流
网站没有接入 Cloudflare，读不到出口，按国内 / 国际规则归到对应出口	網站沒有接入 Cloudflare，讀不到出口，按國內 / 國際規則歸到對應出口
网络	網絡
网络不通	網絡不通
网络名称	網絡名稱
网络已恢复	網絡已恢復
网络断开	網絡斷開
网络测速	網絡測速
网络环境变了，下面是之前的结果，正在重新检测。	網絡環境變了，下面是之前的結果，正在重新檢測。
网络类型	網絡類型
网络详情打开时每秒 ping 一次，通了是绿格、不通是红格，显示最近 60 次	網絡詳情打開時每秒 ping 一次，通了是綠格、不通是紅格，顯示最近 60 次
网络运营方	網絡運營方
网络连接中断超过 20 秒，恢复后再提示一次	網絡連接中斷超過 20 秒，恢復後再提示一次
网络连接已中断超过 20 秒。可以打开网络详情查看接口与路由器状态。	網絡連接已中斷超過 20 秒。可以打開網絡詳情查看接口與路由器狀態。
网络连接已经恢复。	網絡連接已經恢復。
网络：{}	網絡：{}
网页数据	網頁數據
网页缓存与脚本缓存，不涉及 Cookie、历史记录和密码	網頁緩存與腳本緩存，不涉及 Cookie、歷史記錄和密碼
置信度	置信度
联动	聯動
能效核	能效核
腾讯 DNSPod	騰訊 DNSPod
腾讯（119.29.29.29）	騰訊（119.29.29.29）
自 {} 起	自 {} 起
自动	自動
自动代理配置	自動代理配置
自动检查更新	自動檢查更新
运行时静默	執行期間靜默檢查
启动时	啟動時
每日一次	每日一次
每周一次	每週一次
每月一次	每月一次
从不	從不
自动检测	自動檢測
自动（由路由器分配）	自動（由路由器分配）
自定义	自定義
自定义模式下 CPU 达到 {}°C 会自动交还系统控制；退出应用时风扇恢复自动。	自定義模式下 CPU 達到 {}°C 會自動交還系統控制；退出應用時風扇恢復自動。
自定义转速时，CPU 达到该温度自动恢复系统控制	自定義轉速時，CPU 達到該溫度自動恢復系統控制
自己的进程为实际占用内存，系统进程为常驻内存	自己的進程為實際佔用內存，系統進程為常駐內存
致谢	致謝
良好	良好
节点	節點
芯片	芯片
菜单栏	菜單欄
菜单栏图标	菜單欄圖標
菜单栏布局	菜單欄佈局
菜单栏里的图标可以调整顺序：按住 ⌘ 键拖动任意一个，松开后位置会一直保留。新开启的项目由系统安排位置，可能离其他图标较远，拖一下就能挪到一起。	菜單欄里的圖標可以調整順序：按住 ⌘ 鍵拖動任意一個，松開後位置會一直保留。新開啓的項目由系統安排位置，可能離其他圖標較遠，拖一下就能挪到一起。
菜单栏里还没有开启任何项目。	菜單欄里還沒有開啓任何項目。
菜单栏项目	菜單欄項目
菜单栏风格	菜單欄風格
蓝牙设备	藍牙設備
蓝牙设备电量 {}%	藍牙設備電量 {}%
蓝牙设备电量低	藍牙設備電量低
蓝牙设备电量低时提示	藍牙設備電量低時提示
覆盖远端设置？	覆蓋遠端設置？
解压失败：{}	解壓失敗：{}
计算中	計算中
记录历史数据	記錄歷史數據
设置	設置
设置 · {}	設置 · {}
设置…	設置…
设置同步	設置同步
设置备份版本不受支持，请先更新 XStats	設置備份版本不受支持，請先更新 XStats
设置改动后 2 秒内上传；启动、唤醒与每 15 分钟检查一次云端	設置改動後 2 秒內上傳；啓動、喚醒與每 15 分鐘檢查一次雲端
设置文件超过 1 MB，已停止同步	設置文件超過 1 MB，已停止同步
设置风扇目标转速，或恢复系统自动控制	設置風扇目標轉速，或恢復系統自動控制
评分由 cleanip.io 提供，点击查看完整报告	評分由 cleanip.io 提供，點擊查看完整報告
该项目在菜单栏里的实时效果	該項目在菜單欄里的實時效果
详情关闭时，菜单栏显示网络项期间每 {} 秒探测一次，打开详情就能看到最近的连接情况；关闭后只在打开详情时探测，更省电	詳情關閉時，菜單欄顯示網絡項期間每 {} 秒探測一次，打開詳情就能看到最近的連接情況；關閉後只在打開詳情時探測，更省電
语言	語言
请从菜单退出 XStats	請從菜單退出 XStats
请先保存 WebDAV 配置	請先保存 WebDAV 配置
请先在“系统设置 → Apple 智能与 Siri”中开启 Apple 智能。	請先在“系統設置 → Apple 智能與 Siri”中開啓 Apple 智能。
请在“系统设置 › 通用 › 登录项”中允许 XStats 的后台项目。	請在“系統設置 › 通用 › 登錄項”中允許 XStats 的後台項目。
请填写一个域名，例如 example.com	請填寫一個域名，例如 example.com
请填写已存在的 HTTPS 目录；文件名固定为 xstats-settings.json。	請填寫已存在的 HTTPS 目錄；文件名固定為 xstats-settings.json。
请打开系统自带的“磁盘工具”，选择启动盘运行“急救”进行修复	請打開系統自帶的“磁盤工具”，選擇啓動盤運行“急救”進行修復
请输入 WebDAV 密码或应用专用密码	請輸入 WebDAV 密碼或應用專用密碼
请输入 WebDAV 用户名，不能包含冒号或控制字符	請輸入 WebDAV 用戶名，不能包含冒號或控制字符
请输入有效的 HTTPS WebDAV 目录地址，不要包含账号、查询参数或片段	請輸入有效的 HTTPS WebDAV 目錄地址，不要包含賬號、查詢參數或片段
读 {} · 写 {}	讀 {} · 寫 {}
读写最多的应用	讀寫最多的應用
读写速度	讀寫速度
读到了这次连接的出口	讀到了這次連接的出口
读取	讀取
读取中	讀取中
调节风扇需要安装辅助工具，仅需管理员授权一次。	調節風扇需要安裝輔助工具，僅需管理員授權一次。
调速模式	調速模式
负载在上升	負載在上升
负载在下降	負載在下降
负载平稳	負載平穩
账号	賬號
账号与云端设置会立即删除，无法恢复。	賬號與雲端設置會立即刪除，無法恢復。
账号与同步	賬號與同步
走势图显示最近多长时间	走勢圖顯示最近多長時間
走势时长	走勢時長
超时	超時
超级核	超級核
超过 1 天未更新的 .crdownload / .part / .download	超過 1 天未更新的 .crdownload / .part / .download
跟随整体	跟隨整體
跟随整体（{}）	跟隨整體（{}）
跟随系统	跟隨系統
路径不可读	路徑不可讀
路径包含 ..	路徑包含 ..
路径包含控制字符	路徑包含控制字符
路由器	路由器
路由器（网关）	路由器（網關）
跳过 {} 项	跳過 {} 項
跳过此版本	跳過此版本
转速 {}	轉速 {}
转速最高的风扇	轉速最高的風扇
软件更新	軟件更新
在菜单栏掌握 Mac 状态；按需测速、控制风扇与清理空间，小组件和番茄钟助你保持专注。	在選單列掌握 Mac 狀態；按需測速、控制風扇與清理空間，小工具和番茄鐘助你保持專注。
较弱	較弱
辅助工具	輔助工具
辅助工具未启用	輔助工具未啓用
辅助工具版本比应用旧，部分功能可能无法使用，请重新安装一次（需要管理员授权）。	輔助工具版本比應用舊，部分功能可能無法使用，請重新安裝一次（需要管理員授權）。
过热温度	過熱溫度
运行中 · PID {}	運行中 · PID {}
还可用	還可用
还有 {} 个	還有 {} 個
