# Copyright (C) 2026 ysicing
# SPDX-License-Identifier: AGPL-3.0-or-later
设备不支持	Dispositivo no compatible
屏幕和系统都不会因闲置而关闭或休眠	Ni la pantalla ni el sistema entran en reposo por inactividad
展开{}	Expandir {}
峰值	Pico
峰值 {}	Pico {}
工具	Herramientas
左侧风扇	Ventilador izquierdo
左耳	Izquierdo
已{}“{}”	{} «{}»
已使用 Developer ID 签名	Firmado con Developer ID
已停用	Desactivado
已充满	Cargada
已删除 {} 个快照，腾出的空间稍后会反映在“可清除”里	Se eliminaron {} instantáneas; el espacio liberado aparecerá pronto como purgable
已到设定时间，防休眠已关闭	Se agotó el tiempo; Mantener activo está desactivado
已加载	Cargado
已取消	Cancelado
已取消登录	Inicio de sesión cancelado
已启用	Activado
已导出 {}	Exportado {}
已将 {} 与 {} 项残留移到废纸篓，约 {}{}{}。需要时可以在废纸篓里放回。	Se movieron {} y {} restos a la Papelera, unos {}{}{}. Puedes restaurarlos desde allí.
已应用远端设置	Ajustes remotos aplicados
已开启同步	Sincronización activada
已恢复自动获取 DNS	DNS automático restaurado
已扫描 {} 个条目 · {}	{} elementos analizados · {}
已把“{}”移到废纸篓	«{}» se movió a la Papelera
已拷贝	Copiado
已推出“{}”	«{}» expulsado
已是最新版本	Está actualizado
已用	Usado
已用 {} · {}	{} usados · {}
已用内存占比	Memoria usada
已记录的数据会从本机删除，无法恢复。	Los datos registrados se borrarán de este Mac y no podrán recuperarse.
已运行	Tiempo activo
已运行 	Activo 
已连接	Conectado
已连接的键盘、鼠标、耳机等电量低于 15%，每 10 分钟检查一次	Batería de teclado, ratón, auriculares u otros dispositivos por debajo del 15%; se comprueba cada 10 minutos
已选 {} 项 · {}	{} seleccionados · {}
已释放	Liberado
已释放 {} 缓存内存	Se liberaron {} de memoria caché
布局	Distribución
干净	Limpio
平均	Media
平均 {} · 峰值 {}{}	Media {} · Pico {}{}
平均 {} · 最高 {}	Media {} · Máximo {}
平均温度	Temperatura media
平均负载除以核心数：小于 1 表示任务不用排队，大于 1 表示有任务在等 CPU	Carga media por núcleo: menos de 1 significa sin espera; más de 1 indica tareas esperando CPU
广播 IP	IP de difusión
序列号	Número de serie
应用	Apps
应用 UI 语言	Idioma de la interfaz
应用 {} / 辅助工具 {}	App {} / Auxiliar {}
应用与勾选的 {} 项残留会移到废纸篓，约 {}。清空废纸篓前都可以放回。	La app y {} restos seleccionados se moverán a la Papelera, unos {}. Puedes restaurarlos hasta vaciarla.
应用包内未找到辅助工具，请使用完整构建的 XStats.app	No se encontró el auxiliar en la app. Usa una compilación completa de XStats.app.
应用并覆盖	Aplicar y sobrescribir
应用拒绝退出，可以试试强制退出	La app rechazó salir. Prueba Forzar salida.
应用数据	Datos de apps
应用日志与崩溃报告	Registros e informes de fallos de apps
应用本体	Aplicación
应用正在运行，请先退出	La app está en ejecución. Ciérrala primero.
应用程序文件夹	Carpeta Aplicaciones
应用缓存	Cachés de apps
应用远端设置？	¿Aplicar ajustes remotos?
应用退出或断开连接时，自动恢复风扇与睡眠设置	Restaura los ajustes de ventilación y reposo al salir o desconectarse la app
废纸篓	Papelera
延迟	Latencia
开	Activado
开关防休眠	Alternar Mantener activo
开发	Desarrollo
开发构建不支持在线升级	Las compilaciones de desarrollo no admiten actualizaciones en línea
开发构建不支持在线升级，请下载安装包	Las compilaciones de desarrollo no se actualizan en línea; descarga el instalador
开发版	Desarrollo
开发者	Desarrollador
开启	Activado
开启 / 关闭“合盖不睡眠”（等同 pmset disablesleep）	Activar o desactivar la prevención de reposo con tapa cerrada (equivale a pmset disablesleep)
开启后图标出现在菜单栏；按住 ⌘ 键拖动图标可以调整位置	Añade el icono a la barra de menús; mantén ⌘ y arrástralo para moverlo
开始分析	Analizar
开始探测	Iniciar
开机以来	Desde el arranque
开机后上传	Subido desde el arranque
开机后下载	Descargado desde el arranque
开机后自动在菜单栏显示 XStats	Mostrar XStats en la barra de menús al iniciar sesión
异常断电	Apagados inseguros
弹窗显示	Secciones emergentes
强冷	Máximo
强制刷新：忽略缓存，立即重新查询公网 IP 与归属地	Forzar actualización: omitir la caché y consultar de nuevo la IP pública y su ubicación
强制退出	Forzar salida
归属地	Ubicación
归属地数据来自	Datos de ubicación de
当前 {} · 发布于 {} · {} · {}	Actual {} · Publicado {} · {} · {}
当前为临时签名的开发构建，辅助工具只能校验应用标识。使用 Developer ID 证书构建后会自动启用团队校验。	Esta compilación de desarrollo tiene firma ad hoc; el auxiliar solo puede verificar el identificador. La verificación del equipo se activa automáticamente con Developer ID.
当前效果（实时数据）	Vista previa (datos en directo)
当前版本	Versión actual
当前版本 {}	Versión actual {}
当前版本 {} · {} · {}	Versión actual {} · {} · {}
当前用户	Usuario actual
录制快捷键	Grabar atajo
影音	Vídeo
循环 {} 次	{} ciclos
循环次数	Ciclos
微信	WeChat
忙	Ocupado
快捷开关	Controles rápidos
快照名称格式不认识，没有删除	Nombres de instantáneas desconocidos; no se eliminó nada
性能核	Rendimiento
总占用	Total
总览	Resumen
恢复系统睡眠失败：{}	Error al restaurar el reposo: {}
我的	Míos
截图已输出到 {}	Capturas guardadas en {}
所属应用：{}（{}）	App: {} ({})
所有内容先移到废纸篓。	Todo se mueve primero a la Papelera.
所有指标合成一个图标，点击弹出状态总览，可切到各项详情	Todas las métricas en un icono; pulsa para ver el resumen y las pestañas con detalles
所有检测目标都连不上。请检查网络连接，或者代理软件是否正常运行。	No se pudo acceder a ningún destino de prueba. Revisa la conexión y el funcionamiento de tu app de proxy.
所有用户	Todos los usuarios
所有用户与系统级的启动项需要管理员权限，请在系统设置的登录项中管理	Los elementos del sistema y de todos los usuarios requieren permisos de administrador; gestiónalos en Ítems de inicio de Ajustes del Sistema
所有磁盘合计	Todos los discos
手动	Manual
手动下载	Descargar manualmente
打包版本、系统与辅助工具状态、主要设置、最近 3 天的运行日志和崩溃报告，反馈问题时附上；会去掉序列号、IP 与硬件地址	Recopila versión, estado del sistema y auxiliar, ajustes principales y registros e informes de fallos de los últimos 3 días para adjuntarlos al informar de problemas. Elimina números de serie y direcciones IP y de hardware.
打包生成的 .xcarchive，删除后无法重新符号化旧版本崩溃日志	Paquetes .xcarchive; sin ellos no se pueden simbolicar informes de fallos de versiones antiguas
打开 SMC 失败 ({})	Error al abrir SMC ({})
打开 XStats	Abrir XStats
打开 XStats 主窗口	Abrir ventana de XStats
打开登录项设置	Abrir ajustes de ítems de inicio
打开网络详情时向 Cloudflare（1.1.1.1）或 ipify 查询一次公网地址，10 分钟内不重复请求；归属地、ASN、网络类型与纯净度由这台 Mac 直接向 cleanip.io 查询，只发送公网地址	Al abrir detalles de red se consulta la IP pública a Cloudflare (1.1.1.1) o ipify, como máximo cada 10 minutos. Este Mac consulta directamente a cleanip.io la ubicación, ASN, tipo de red y reputación, enviando solo la IP pública
打开进程页	Mostrar procesos
打开通知设置	Abrir ajustes de notificaciones
托管	Alojamiento
执行中	En curso
扫描中	Analizando
扫描中…	Analizando…
扫描于 	Analizado 
抖动	Variación de latencia
抖音	Douyin
折线历史	Historial de líneas
折线是最近 30 次采样（约 1 分钟）的走势	La línea muestra las últimas 30 muestras (aproximadamente un minuto)
拷贝	Copiar
拷贝 PID	Copiar PID
拷贝 PID {}	Copiar PID {}
持续时间	Duración
按下快捷键…	Pulsa el atajo…
按单核满载为 100% 计：{}	Por núcleo (100% = un núcleo a plena carga): {}
按应用	Por app
按应用汇总	Por app
按文件夹	Por carpeta
按系统代理访问国际网站	Sitios internacionales por proxy del sistema
按系统休眠	Reposo del sistema
按规则分流	Enrutamiento por reglas
按进程	Por proceso
换一台 Mac 登录后，菜单栏、外观、通知与快捷键等偏好会自动恢复。不登录也能使用全部功能。	Inicia sesión en otro Mac y recupera automáticamente tus preferencias de barra de menús, apariencia, notificaciones y atajos. Todas las funciones están disponibles sin iniciar sesión.
换入 / 换出	Intercambio de entrada / salida
掌托	Reposamanos
排队程度	Cola de ejecución
探测目标	Destino del sondeo
探针一直没有返回结果，稍后再试	Las sondas no devolvieron resultados; inténtalo más tarde
探针数量，一个探针占一次额度	Número de sondas; cada una consume una prueba de la cuota
接入 Cloudflare 的网站能实测出口，其余按国内 / 国际规则推断	Se miden las salidas de sitios tras Cloudflare; las demás se deducen según reglas nacionales o internacionales
接口	Interfaz
接通电源	Conectado a corriente
推出	Expulsar
推出中…	Expulsando…
推断	Deducido
搜索名称、PID 或用户	Buscar nombre, PID o usuario
搜索应用	Buscar apps
搜索语言	Buscar idiomas
撤销	Deshacer
收起	Contraer
改回开机后累计	Volver al total desde el arranque
政府	Gobierno
教育网	Educación
散热模式	Refrigeración
数据	Datos
数据来源	Fuente
整体风格	Estilo general
整体风格套用到所有项目。想让某个项目不一样，在下面“显示项目”里给它单独选一种，比如 CPU 用圆环、风扇用数字。	El estilo general se aplica a todos los elementos. Para variar uno, elige su estilo en Elementos; por ejemplo, anillo para CPU y números para ventiladores.
整机	Sistema
整机 {}	Sistema {}
整机功耗	Consumo del sistema
文件系统检查	Comprobación del sistema de archivos
文件系统结构完好，没有发现错误	Estructura del sistema de archivos intacta; sin errores
新版本未通过 Apple 公证检查，已放弃安装	La nueva versión no superó la certificación de Apple; instalación cancelada
新版本需要 macOS {} 或更高版本	La nueva versión requiere macOS {} o posterior
无	Ninguno
无 Bundle ID	Sin identificador de paquete
无法创建电源断言（{}）	No se pudo crear la aserción de energía ({})
无法创建签名要求	No se pudo crear el requisito de firma
无法打开	No se pudo abrir
无法打开登录窗口	No se pudo abrir la ventana de acceso
无法推出“{}”：{}	No se pudo expulsar «{1}»: {2}
无法确认是否经过代理	No se puede confirmar el uso del proxy
无法移到废纸篓：{}	No se pudo mover a la Papelera: {}
无法读取	No se puede leer
无法读取签名	No se pudo leer la firma
无法连接 WebDAV，请检查网络、地址和 HTTPS 证书	No se puede conectar a WebDAV. Revisa la red, la URL y el certificado HTTPS
无法连接辅助工具	No se pudo conectar al auxiliar
无法连接辅助工具：{}	No se pudo conectar al auxiliar: {}
无需清理	Nada que limpiar
日志与崩溃报告	Registros e informes de fallos
显卡信息	Información de GPU
显示 / 隐藏主窗口	Mostrar / ocultar ventana principal
显示 {} 项	{} visibles
显示为 {}×{}	Resolución aparente {}×{}
显示名称：{}	Nombre mostrado: {}
显示器	Pantallas
显示序列号	Mostrar número de serie
显示项目	Elementos
暂时没有拿到评分，稍后会再试	Sin puntuación todavía; se reintentará más tarde
更新内容	Novedades
更省电，负责后台和轻量任务	Más eficientes; realizan tareas ligeras y en segundo plano
替换后未找到应用	No se encontró la app tras reemplazarla
替换应用失败：{}	Error al reemplazar la app: {}
最低 {} · 最高 {} · 目标 {} RPM	Mín. {} · Máx. {} · Objetivo {} RPM
最大的文件	Archivos más grandes
最小化	Minimizar
最强	Máxima
最忙的核心	Núcleo más ocupado
最快，重活优先交给它们	Más rápidos; tienen prioridad para las tareas pesadas
最近 24 小时	Últimas 24 horas
最近 60 秒	Últimos 60 segundos
最近没有应用在读写磁盘	Ninguna app lee ni escribe en el disco ahora
最近的内存压力走势	Presión de memoria reciente
最近错误	Último error
最高	Máximo
最高 / 平均	Máx. / Media
最高温度	Temperatura máxima
服务器在 getopenstats.com，不上传任何监控数据；随时可以删除。	El servidor está en getopenstats.com; no se suben datos de supervisión y puedes borrar todo cuando quieras.
服务器返回 {}	El servidor devolvió {}
服务器返回的数据格式不正确	El servidor devolvió datos con formato incorrecto
未使用	Sin usar
未使用代理	Sin proxy en uso
未保存的内容可能会丢失。强制退出会立即结束，不给应用保存的机会。	Puedes perder el trabajo sin guardar. Forzar salida termina de inmediato sin permitir guardar.
未发现	No se encontraron
未安装	No instalado
未完成的下载	Descargas incompletas
未开启，Mac 按系统设置休眠	Desactivado; el Mac entra en reposo normalmente
未找到 AppleSMC 服务	Servicio AppleSMC no encontrado
未检出	No detectado
未检测到可调节的风扇	No se encontraron ventiladores ajustables
未检测到风扇	No se detectaron ventiladores
未知状态	Estado desconocido
未签名或临时签名	Sin firma o con firma ad hoc
未签名（开发构建）	Sin firma (compilación de desarrollo)
未设置	Sin configurar
未连接	No conectado
未连接网络	Sin red
本地 IPv4	IPv4 local
本地 IPv6	IPv6 local
本地快照	Instantáneas locales
本机 IP 这一小时还剩 {}/{} 次探针额度	{}/{} pruebas de sonda restantes esta hora para la IP de este Mac
本机信息	Este Mac
本机宽带	Tu conexión
本机网络	Tu red
本机设置已上传	Ajustes locales subidos
本次用掉 {}	{} usados
机型	Modelo
机型标识符	Identificador del modelo
机房	Centro de datos
机房 IP	IP de centro de datos
极好	Excelente
极高风险	Riesgo muy alto
构建	Compilación
查看	Ver
查看{}详情	Ver detalles de {}
查看全部进程	Todos los procesos
查看包含的项目	Ver elementos
查看完整更新日志	Registro completo de cambios
查看清理日志	Ver registro de limpieza
查询中…	Consultando…
查询公网 IP	Consultar IP pública
查询已关闭	Consulta desactivada
柱状历史	Historial de barras
标签与数值同一行，最易读	Etiqueta y valor en una línea; el más legible
标识	Identificador
核心	Núcleos
核心 {}	Núcleo {}
核心 {}（{}）· {}	Núcleo {} ({}) · {}
核心分工	Tipos de núcleo
核心数	Núcleos
核心最高温度；余量是离 100°C 还差多少度，越接近 0 越可能因过热降频	Núcleo más caliente; el margen indica los grados hasta 100 °C. Cuanto más cerca de 0, más probable es la limitación térmica
核心热力图	Mapa térmico de núcleos
核心负载	Carga de núcleos
检查	Comprobar
检查 VPN 与代理是否生效、各网站从哪个出口出去	Comprueba si funcionan la VPN y el proxy y qué salida usa cada sitio
检查中…	Comprobando…
检查完成，但没有得到明确结论	La comprobación terminó sin una conclusión clara
检查更新	Buscar actualizaciones
检查更新…	Buscar actualizaciones…
检查更新失败	Error al buscar actualizaciones
检查未能完成（退出码 {}）	La comprobación no terminó (código de salida {})
检测中 {}/{}	Comprobando {}/{}
检测到 {}，但测试的网站都在直连，没有经过代理出口。	Se detectó {}, pero todos los sitios probados conectan directamente sin pasar por el proxy.
模式	Modo
模拟器	Simuladores
模拟器缓存	Cachés del simulador
正在上传设置…	Subiendo ajustes…
正在下载	Descargando
正在下载设置…	Descargando ajustes…
正在使用	En uso
正在修改 DNS…	Cambiando DNS…
正在同步	Sincronizando
正在同步…	Sincronizando…
正在安装，完成后 XStats 会自动重启。	Instalando. XStats se reiniciará al terminar.
正在导出…	Exportando…
正在导出诊断信息…	Exportando diagnóstico…
正在扫描应用…	Analizando apps…
正在收集走势…	Recopilando tendencia…
正在本机生成…	Generando en este Mac…
正在查找残留…	Buscando restos…
正在查询…	Consultando…
正在核对启动盘的文件系统结构，通常几秒到几十秒	Verificando el sistema de archivos del disco de arranque; suele tardar entre unos segundos y un minuto
正在核对校验值、开发者签名与 Apple 公证…	Verificando suma de verificación, firma del desarrollador y certificación de Apple…
正在检查…	Comprobando…
正在检查更新	Buscando actualizaciones
正在检测出口与分流…	Comprobando salida y enrutamiento…
正在测 {}/{}	Probando {}/{}
正在测上行	Midiendo subida
正在测下行	Midiendo bajada
正在测延迟	Midiendo latencia
正在清理…	Limpiando…
正在移除…	Eliminando…
正在统计…	Contando…
正在统计各进程流量…	Midiendo tráfico por proceso…
正在计算可清理空间	Calculando espacio limpiable
正在读取 SMART 信息；外置磁盘或不支持 NVMe SMART 的磁盘不显示	Leyendo SMART; no se muestran discos externos ni discos sin NVMe SMART
正在读取…	Cargando…
正在读取传感器…	Leyendo sensores…
正在读取进程…	Leyendo procesos…
正在读取风扇…	Leyendo ventiladores…
正在释放…	Liberando…
正常	Normal
此刻各核心的占用；超过 60% 变橙色、85% 变红色	Carga actual por núcleo; naranja por encima del 60%, rojo por encima del 85%
此设备没有可调节的风扇	Este Mac no tiene ventiladores ajustables
每个应用占整机 CPU 的比例：{} 个核心全部跑满为 100%，与顶部的总占用是同一把尺子。鼠标悬停在数值上可以看按单核计的占用（活动监视器的算法）	Uso de CPU total por app: los {} núcleos a plena carga equivalen al 100%, igual que el total superior. Pasa el cursor sobre el valor para ver el uso por núcleo, como en Monitor de Actividad
每个指标一个图标，点击弹出该项详情	Un icono por métrica; pulsa para ver detalles
每分钟把主要指标的平均值与峰值写入本机数据库，保留 7 天，不上传	Guarda medias y picos de las métricas en una base local cada minuto. Se conservan 7 días y no se suben.
每核 {}	{} por núcleo
每根柱子一个核心，按核心类型着色	Una barra por núcleo, coloreada según su tipo
每点 {}	{} por punto
每秒让 CPU 从空闲中唤醒的次数，越高越耗电	Veces por segundo que se despierta la CPU del reposo; más activaciones consumen más energía
每秒读写磁盘的字节数	Bytes leídos y escritos por segundo
每行一个核心（共 {} 个），每列一次采样，颜色越深越忙；右侧粗条是此刻的占用	Una fila por núcleo ({} en total), una columna por muestra; más oscuro indica más carga. La barra ancha derecha muestra la carga actual
每项独立	Separados
比 30 秒前低 {}%	Un {}% menos que hace 30 s
比 30 秒前高 {}%	Un {}% más que hace 30 s
永久删除废纸篓中的内容，无法恢复	Elimina definitivamente el contenido de la Papelera; no se puede deshacer
沙盒容器	Contenedores
没有匹配的语言	No hay idiomas coincidentes
没有匹配的进程	No hay procesos coincidentes
没有启动项	No hay elementos de inicio
没有已连接的蓝牙设备	No hay dispositivos Bluetooth conectados
没有检测到 VPN 或系统代理，所有流量都从本机网络直接出去。	No se detectó VPN ni proxy del sistema. Todo el tráfico sale directamente por tu red.
没有检测到显示器	No se detectaron pantallas
没有电池	Sin batería
没有移动任何文件{}	No se movió ningún archivo{}
没有超过 50 MB 的文件	No hay archivos de más de 50 MB
流量历史	Historial de tráfico
流量经过 {}，系统 DNS 可能由它接管，修改后不一定生效。	El tráfico pasa por {}, que podría gestionar el DNS del sistema; los cambios quizá no se apliquen.
浅色	Claro
浅色菜单栏预览	Vista previa de barra clara
测延迟	Latencia
测本机宽带、国内分省三网延迟与全球节点	Prueba tu conexión, la latencia por provincias de China y nodos globales
测试的网站都经 {} 的{}，没有暴露本机网络的地址。	Todos los sitios probados pasan por {} y su {}, sin exponer la dirección de tu red.
测速	Probar
浏览器	Navegadores
淘宝	Taobao
深色	Oscuro
深色菜单栏预览	Vista previa de barra oscura
清理	Limpieza
清理中…	Limpiando…
清理可回收的缓存内存（需要管理员授权或辅助工具）	Libera memoria caché recuperable (requiere autorización de administrador o el auxiliar)
清理所选 {}	Limpiar selección {}
清空废纸篓	Vaciar Papelera
清除	Borrar
清除…	Borrar…
清除全部历史记录？	¿Borrar todo el historial?
清除历史	Borrar historial
清除快捷键	Borrar atajo
清除搜索	Borrar búsqueda
温度	Temperatura
温度与风扇	Temperatura y ventiladores
温度传感器	Sensores de temperatura
温度单位	Unidad de temperatura
满载	Carga máxima
滥用记录	Informes de abuso
点击拷贝	Pulsa para copiar
版本	Versión
版本 {}	Versión {}
版本 {}{}	Versión {}{}
版本是 {}，清单写的是 {}	La versión es {}, pero el manifiesto indica {}
版本清单格式不正确	Manifiesto de versión no válido
物理地址	Dirección de hardware
状态	Estado
状态圆点	Punto de estado
状态总览	Resumen de estado
状态正常	Correcto
状态良好	Saludable
现在	Ahora
现在没有本地快照	No hay instantáneas locales actualmente
用 Apple 智能解释	Explicar con Apple Intelligence
用户	Usuario
用户 {}	Usuario {}
用户名	Nombre de usuario
用户资源库	Biblioteca del usuario
用系统图标代替文字标签	Iconos del sistema en lugar de etiquetas de texto
由 Apple 智能在这台 Mac 上生成，不联网；内容可能不准确，结束进程前请自行确认。	Generado sin conexión en este Mac por Apple Intelligence. Puede ser inexacto; verifica antes de finalizar un proceso.
由 SMC 与系统能耗统计读取；新款芯片不提供可靠的 CPU 单独功耗	Lectura de SMC y estadísticas energéticas; los chips recientes no ofrecen consumo fiable solo de CPU
由 macOS 调节	Gestionado por macOS
由辅助工具执行	Gestionado por el auxiliar
电池	Batería
电池 {}	Batería {}
电池供电	Con batería
电池健康	Salud de la batería
电池健康度下降	Salud de batería baja
电池充电	Batería cargándose
电池放电	Batería descargándose
电池最大容量为 {}，续航会明显缩短。可以在“系统设置 › 电池”查看是否建议维修。	La capacidad máxima es {}, por lo que la autonomía será menor. Consulta Ajustes del Sistema › Batería para ver recomendaciones de reparación.
电池最大容量低于 80%，每 30 天最多提醒一次	Capacidad máxima por debajo del 80%; como máximo un aviso cada 30 días
电池温度	Temperatura de batería
电池电量	Nivel de batería
电池设置	Ajustes de batería
电源	Alimentación
电源供电	Con adaptador
电源输入	Entrada del adaptador
电源适配器{}	Adaptador de corriente{}
电量	Batería
电量下限	Batería mínima
电量与充电状态；没有电池的 Mac 显示蓝牙设备电量	Nivel y estado de carga; los Mac sin batería muestran la batería de dispositivos Bluetooth
电量低于 {}%，已关闭合盖运行	Batería por debajo del {}%; modo de tapa cerrada desactivado
电量历史	Historial de carga
电量条	Medidor
登录以同步设置	Inicia sesión para sincronizar ajustes
登录启动项	Agentes de inicio
登录回调不正确	Respuesta de inicio de sesión no válida
登录已失效，请重新登录	Tu sesión ha caducado. Vuelve a iniciar sesión.
登录时启动	Abrir al iniciar sesión
登录时运行	Se ejecuta al iniciar sesión
登录项设置	Ítems de inicio
百度	Baidu
监控	Supervisión
目标转速	Velocidad objetivo
直连	Directo
相当于“磁盘工具”里的急救，但只检查不修改：核对启动盘的目录结构、文件分配与快照元数据是否一致。	Como Primera Ayuda de Utilidad de Discos, pero solo lectura: comprueba la coherencia de directorios, asignación y metadatos de instantáneas del disco de arranque.
省份	Provincia
确认清理	Limpiar
确认通知能正常显示	Comprobar que aparecen las notificaciones
磁盘	Disco
磁盘已用 {}	Disco: {} usados
磁盘报告了严重警告，建议尽快备份	El disco notificó una alerta crítica; haz una copia de seguridad pronto
磁盘清理	Limpieza de disco
磁盘空间不足	Poco espacio en disco
磁盘空间偏紧	Espacio en disco limitado
社交	Social
移到废纸篓	Mover a la Papelera
移到废纸篓？	¿Mover a la Papelera?
移动网络	Móvil
移动网络 IP	IP móvil
移动运营商	Operador móvil
空	vacío
空格	Espacio
空闲	Inactivo
空间占用	Uso de espacio
窗口	Ventana
窗口状态	Estado guardado
立即切换；显示器、应用名称等由系统提供的文字在下次启动时切换	Se aplica al instante; los nombres proporcionados por macOS, como pantallas y apps, cambian al reiniciar
立即同步	Sincronizar ahora
竖向电量条表示当前占用比例	Un medidor vertical muestra el uso actual
等待批准	Esperando aprobación
等待选择	Esperando tu elección
签名团队	Equipo firmante
签名方：{}	Firmado por: {}
签名校验未通过：{}	Error de verificación de firma: {}
粘贴	Pegar
系统	Sistema
系统代理	Proxy del sistema
系统或其他用户的进程，XStats 不提供结束	Proceso del sistema o de otro usuario; XStats no puede terminarlo
系统服务	Servicios del sistema
系统正在把内存写到磁盘，可能会变慢。可以关掉占用大的应用。	El sistema está intercambiando memoria con el disco y puede ralentizarse. Cierra apps que usen mucha memoria.
系统版号	Compilación
系统电池设置…	Ajustes de batería del sistema…
系统级资源库（第三方驱动、辅助工具或后台服务）	Biblioteca del sistema (controladores, auxiliares o servicios de terceros)
系统维护	Mantenimiento
系统自动	Automático
系统自带的应用不能卸载	Las apps del sistema no se pueden desinstalar
系统调节	Sistema
累计写入	Datos escritos
累计读取	Datos leídos
繁忙	Ocupado
纯净度 {} 分	Puntuación de reputación {}
纯净度看信誉、来路、邻居与网络类型四项；机房 IP 常见信誉高、来路和类型偏低。数据来自 cleanip.io	La puntuación evalúa reputación, origen, vecinos y tipo de red; las IP de centros de datos suelen tener buena reputación y puntuaciones menores en origen y tipo. Datos de cleanip.io
线程	Hilos
线程 {}	Hilos {}
线程数（只能读取自己的进程）	Número de hilos (solo tus procesos)
经 Cloudflare {} 边缘节点	Mediante el nodo Cloudflare {}
经 {}	Mediante {}
经 {} 直接连接	Directamente mediante {}
经代理	Por proxy
结束 {} 失败：{}	Error al terminar {}: {}
结束“{}”？	¿Terminar «{}»?
结束它会注销当前用户，已禁止	Terminarlo cerraría tu sesión; acción bloqueada
结束进程…	Terminar proceso…
统一内存（CPU 与 GPU 共享）	Memoria unificada (compartida por CPU y GPU)
统计家目录里每个文件夹占多少空间，并找出最大的文件；只读取大小，不改动任何文件。文件多时需要几十秒。	Mide el espacio de cada carpeta de inicio y encuentra los archivos más grandes. Solo lee tamaños, sin modificar archivos; puede tardar un minuto si hay muchos.
继续运行	Seguir funcionando
绿色正常、橙色偏高（60% 以上）、红色很高（85% 以上）	Verde: normal; naranja: alto (más del 60%); rojo: muy alto (más del 85%)
缓存	Cachés
缓存与日志直接删除，下载内容移到废纸篓。	Las cachés y registros se eliminan; las descargas van a la Papelera.
缓存也先移到废纸篓	Mover también las cachés a la Papelera
编辑	Editar
网站	Sitio
网站分流	Enrutamiento de sitios
网站没有接入 Cloudflare，读不到出口，按国内 / 国际规则归到对应出口	El sitio no usa Cloudflare y no se puede leer su salida. Se agrupa según la regla China/internacional.
网络	Red
网络不通	Sin conexión
网络名称	Nombre de red
网络已恢复	Conexión restaurada
网络断开	Red desconectada
网络测速	Prueba de velocidad de red
网络环境变了，下面是之前的结果，正在重新检测。	La red cambió. Se muestran los resultados anteriores mientras se repite la comprobación.
网络类型	Tipo de red
网络详情打开时每秒 ping 一次，通了是绿格、不通是红格，显示最近 60 次	Con los detalles de red abiertos, envía ping cada segundo: verde si hay conexión, rojo si no; muestra los últimos 60
网络运营方	Operador de red
网络连接中断超过 20 秒，恢复后再提示一次	Red desconectada más de 20 segundos; avisa de nuevo al recuperarse
网络连接已中断超过 20 秒。可以打开网络详情查看接口与路由器状态。	La red lleva más de 20 segundos desconectada. Abre sus detalles para revisar la interfaz y el router.
网络连接已经恢复。	La conexión de red se ha restaurado.
网络：{}	Red: {}
网页数据	Datos web
网页缓存与脚本缓存，不涉及 Cookie、历史记录和密码	Cachés web y de scripts; no afecta a cookies, historial ni contraseñas
置信度	Confianza
联动	Fija
能效核	Eficiencia
腾讯 DNSPod	Tencent DNSPod
腾讯（119.29.29.29）	Tencent (119.29.29.29)
自 {} 起	Desde {}
自动	Automático
自动代理配置	Configuración automática de proxy
自动检查更新	Comprobar automáticamente
自动检测	Detectar automáticamente
自动（由路由器分配）	Automático (del router)
自定义	Personalizado
自定义模式下 CPU 达到 {}°C 会自动交还系统控制；退出应用时风扇恢复自动。	En modo personalizado, los ventiladores vuelven al control del sistema cuando la CPU alcanza {}°C y al modo automático al salir.
自定义转速时，CPU 达到该温度自动恢复系统控制	Con velocidad personalizada, vuelve al control del sistema a esta temperatura de CPU
自己的进程为实际占用内存，系统进程为常驻内存	Uso real de memoria para tus procesos; memoria residente para procesos del sistema
致谢	Agradecimientos
良好	Bueno
节点	Nodo
芯片	Chip
菜单栏	Barra de menús
菜单栏图标	Iconos de barra de menús
菜单栏布局	Distribución de barra de menús
菜单栏里的图标可以调整顺序：按住 ⌘ 键拖动任意一个，松开后位置会一直保留。新开启的项目由系统安排位置，可能离其他图标较远，拖一下就能挪到一起。	Para ordenar los iconos, mantén ⌘ y arrástralos; su posición se conserva. macOS decide dónde aparece cada elemento nuevo, a veces lejos de los demás; arrástralo para agruparlos.
菜单栏里还没有开启任何项目。	Aún no hay elementos activados en la barra de menús.
菜单栏项目	Elementos de barra de menús
菜单栏风格	Estilo de barra de menús
蓝牙设备	Dispositivos Bluetooth
蓝牙设备电量 {}%	Batería Bluetooth {}%
蓝牙设备电量低	Batería Bluetooth baja
蓝牙设备电量低时提示	Avisar de batería Bluetooth baja
覆盖远端设置？	¿Sobrescribir ajustes remotos?
解压失败：{}	Error al descomprimir: {}
计算中	Calculando
记录历史数据	Registrar historial
设置	Ajustes
设置 · {}	Ajustes · {}
设置…	Ajustes…
设置同步	Sincronización de ajustes
设置备份版本不受支持，请先更新 XStats	Versión de copia no compatible. Actualiza XStats primero
设置改动后 2 秒内上传；启动、唤醒与每 15 分钟检查一次云端	Los cambios se suben en 2 segundos; se consulta la nube al iniciar, al despertar y cada 15 minutos
设置文件超过 1 MB，已停止同步	El archivo de ajustes supera 1 MB. Sincronización detenida
