# Copyright (C) 2026 ysicing
# SPDX-License-Identifier: AGPL-3.0-or-later
国内网络建议选阿里云或腾讯；选路由器只检测本地连接	In Festlandchina werden Alibaba Cloud oder Tencent empfohlen; „Router“ prüft nur die lokale Verbindung
图形	Grafik
图形处理器	GPU
图形核心	GPU-Kerne
图标	Symbol
圆环	Ring
圆环表示当前占用比例	Ein Ring zeigt die aktuelle Auslastung
在 cleanip.io 查看这个 IP 的完整报告	Vollständigen Bericht zu dieser IP auf cleanip.io öffnen
在主窗口打开“{}”	„{}“ im Hauptfenster öffnen
在程序坞显示图标	Symbol im Dock anzeigen
在线升级	Online-Updates
在线升级：发现新版本时显示更新摘要，一键安装并自动重启	Online-Updates: Neuerungen anzeigen, mit einem Klick installieren und automatisch neu starten
在菜单栏显示	In Menüleiste anzeigen
在菜单栏显示{}	{} in Menüleiste anzeigen
在访达中显示	Im Finder anzeigen
型号	Modell
域名，例如 example.com	Domain, z. B. example.com
处理器	Prozessor
处理器核心	CPU-Kerne
备用空间	Verfügbare Reserve
备用空间低于阈值，建议备份	Reservekapazität unter dem Grenzwert; Daten sichern
外置硬盘、U 盘、镜像与网络共享	Externe Laufwerke, USB-Sticks, Images und Netzwerkfreigaben
外观	Erscheinungsbild
存储	Speicher
它只做这几件事	Es führt nur diese Aufgaben aus
安全温度	Sicherheitstemperatur
安装	Installieren
安装包	Installationspakete
安装包不支持这台 Mac 的芯片	Dieses Update unterstützt den Chip dieses Mac nicht
安装包内容不正确：{}	Ungültiges Updatepaket: {}
安装包校验值与版本清单不一致，已放弃安装	Die Prüfsumme stimmt nicht mit dem Manifest überein; Installation abgebrochen
安装失败：{}	Installation fehlgeschlagen: {}
安装辅助工具	Hilfsprogramm installieren
安静	Leise
定时 ping 一个地址，记录网络是否通畅	Prüft eine Adresse regelmäßig per Ping und zeichnet die Erreichbarkeit auf
定时探测网络	Verbindungsprüfung
实测	Gemessen
家目录	Benutzerordner
容量	Kapazität
密码仅保存在这台 Mac 的钥匙串中	Das Passwort wird nur im Schlüsselbund dieses Mac gespeichert
密码或应用专用密码	Passwort oder App-Passwort
导出…	Exportieren …
导出失败：{}	Export fehlgeschlagen: {}
导出时间	Exportiert am
导出诊断信息	Diagnose exportieren
寿命偏低，注意备份	Geringe Restlebensdauer; regelmäßig sichern
寿命按厂商估算的已用比例计算；写入量越大消耗越快，日常使用通常可用很多年	Die Lebensdauer basiert auf der Verschleißschätzung des Herstellers. Viele Schreibvorgänge beschleunigen den Verschleiß; bei normaler Nutzung hält das Laufwerk meist viele Jahre.
将应用 {} 保存的设置，覆盖本机对应偏好。	Die am {} gesicherten Einstellungen anwenden und entsprechende lokale Einstellungen überschreiben.
将清理 {} 个项目，共 {}。{}	{} Objekte mit insgesamt {} werden bereinigt. {}
将移到废纸篓	Wird in den Papierkorb verschoben
小标签在上、数值在下，最紧凑	Kleine Beschriftung über dem Wert; am kompaktesten
尚未检查	Noch nicht geprüft
屏幕保持常亮	Bildschirm eingeschaltet lassen
屏幕可按设置关闭，下载、编译等后台任务继续运行	Der Bildschirm darf sich wie gewohnt ausschalten, während Downloads und Builds weiterlaufen
屏幕和系统都不会因闲置而关闭或休眠	Bildschirm und System bleiben auch bei Inaktivität eingeschaltet
展开{}	{} einblenden
峰值	Spitzenwert
峰值 {}	Spitzenwert {}
工具	Werkzeuge
左侧风扇	Linker Lüfter
左耳	Links
已{}“{}”	{} „{}“
已使用 Developer ID 签名	Mit Developer ID signiert
已停用	Deaktiviert
已充满	Voll geladen
已删除 {} 个快照，腾出的空间稍后会反映在“可清除”里	{} Schnappschüsse gelöscht; der freigegebene Speicher wird bald unter „Löschbar“ angezeigt
已到设定时间，防休眠已关闭	Zeit abgelaufen; Wachhalten deaktiviert
已加载	Geladen
已取消	Abgebrochen
已取消登录	Anmeldung abgebrochen
已启用	Aktiviert
已导出 {}	{} exportiert
已将 {} 与 {} 项残留移到废纸篓，约 {}{}{}。需要时可以在废纸篓里放回。	{} und {} Restobjekte in den Papierkorb verschoben, etwa {}{}{}. Bei Bedarf können Sie sie zurücklegen.
已应用远端设置	Entfernte Einstellungen angewendet
已开启同步	Synchronisierung aktiviert
已恢复自动获取 DNS	DNS wieder automatisch
已扫描 {} 个条目 · {}	{} Objekte geprüft · {}
已把“{}”移到废纸篓	„{}“ in den Papierkorb verschoben
已拷贝	Kopiert
已推出“{}”	„{}“ ausgeworfen
已是最新版本	Auf dem neuesten Stand
已用	Belegt
已用 {} · {}	{} belegt · {}
已用内存占比	Arbeitsspeicher belegt
已记录的数据会从本机删除，无法恢复。	Aufgezeichnete Daten werden unwiderruflich von diesem Mac gelöscht.
已运行	Betriebszeit
已运行 	Seit 
已连接	Verbunden
已连接的键盘、鼠标、耳机等电量低于 15%，每 10 分钟检查一次	Batteriestand einer verbundenen Tastatur, Maus, Kopfhörer o. Ä. unter 15 %; Prüfung alle 10 Minuten
已选 {} 项 · {}	{} ausgewählt · {}
已释放	Freigegeben
已释放 {} 缓存内存	{} Cache-Arbeitsspeicher freigegeben
布局	Layout
干净	Sauber
平均	Durchschnitt
平均 {} · 峰值 {}{}	Ø {} · Spitze {}{}
平均 {} · 最高 {}	Ø {} · Max. {}
平均温度	Durchschnittstemperatur
平均负载除以核心数：小于 1 表示任务不用排队，大于 1 表示有任务在等 CPU	Mittlere Last je Kern: unter 1 bedeutet keine Wartezeit, über 1 warten Aufgaben auf die CPU
广播 IP	Broadcast-IP
序列号	Seriennummer
应用	Apps
应用 UI 语言	Sprache der App-Oberfläche
应用 {} / 辅助工具 {}	App {} / Hilfsprogramm {}
应用与勾选的 {} 项残留会移到废纸篓，约 {}。清空废纸篓前都可以放回。	Die App und {} ausgewählte Restobjekte werden in den Papierkorb verschoben, etwa {}. Bis zum Leeren des Papierkorbs sind sie wiederherstellbar.
应用包内未找到辅助工具，请使用完整构建的 XStats.app	Hilfsprogramm im App-Bundle nicht gefunden. Verwenden Sie eine vollständige XStats.app-Version.
应用并覆盖	Anwenden und überschreiben
应用拒绝退出，可以试试强制退出	Die App lässt sich nicht beenden. Versuchen Sie „Sofort beenden“.
应用数据	App-Daten
应用日志与崩溃报告	App-Protokolle und Absturzberichte
应用本体	Anwendung
应用正在运行，请先退出	Die App läuft. Beenden Sie sie zuerst.
应用程序文件夹	Programme-Ordner
应用缓存	App-Caches
应用远端设置？	Entfernte Einstellungen anwenden?
应用退出或断开连接时，自动恢复风扇与睡眠设置	Stellt beim Beenden oder Verbindungsabbruch der App die Lüfter- und Ruhezustandseinstellungen wieder her
废纸篓	Papierkorb
延迟	Latenz
开	Ein
开关防休眠	Wachhalten umschalten
开发	Entwicklung
开发构建不支持在线升级	Entwicklungsversionen unterstützen keine Online-Updates
开发构建不支持在线升级，请下载安装包	Entwicklungsversionen unterstützen keine Online-Updates; laden Sie das Installationspaket herunter
开发版	Entwicklung
开发者	Entwickler
开启	Ein
开启 / 关闭“合盖不睡眠”（等同 pmset disablesleep）	„Bei geschlossenem Deckel wach bleiben“ ein- oder ausschalten (entspricht pmset disablesleep)
开启后图标出现在菜单栏；按住 ⌘ 键拖动图标可以调整位置	Zeigt das Symbol in der Menüleiste; zum Verschieben ⌘ gedrückt halten und ziehen
开始分析	Analysieren
开始探测	Starten
开机以来	Seit dem Start
开机后上传	Upload seit Start
开机后下载	Download seit Start
开机后自动在菜单栏显示 XStats	XStats nach der Anmeldung automatisch in der Menüleiste anzeigen
异常断电	Unerwartete Abschaltungen
弹窗显示	Popover-Bereiche
强冷	Maximal
强制刷新：忽略缓存，立即重新查询公网 IP 与归属地	Erzwungen aktualisieren: Cache ignorieren und öffentliche IP sowie Standort sofort neu ermitteln
强制退出	Sofort beenden
归属地	Standort
归属地数据来自	Standortdaten von
当前 {} · 发布于 {} · {} · {}	Aktuell {} · Veröffentlicht {} · {} · {}
当前为临时签名的开发构建，辅助工具只能校验应用标识。使用 Developer ID 证书构建后会自动启用团队校验。	Diese Entwicklungsversion ist ad hoc signiert; das Hilfsprogramm kann nur die Bundle-ID prüfen. Bei einer Developer-ID-Version wird die Teamprüfung automatisch aktiviert.
当前效果（实时数据）	Vorschau (Live-Daten)
当前版本	Aktuelle Version
当前版本 {}	Aktuelle Version {}
当前版本 {} · {} · {}	Aktuelle Version {} · {} · {}
当前用户	Aktueller Benutzer
录制快捷键	Kurzbefehl aufzeichnen
影音	Video
循环 {} 次	{} Zyklen
循环次数	Zyklusanzahl
微信	WeChat
忙	Ausgelastet
快捷开关	Schnellschalter
快照名称格式不认识，没有删除	Unbekanntes Format der Schnappschussnamen; nichts gelöscht
性能核	Leistung
总占用	Gesamtauslastung
总览	Übersicht
恢复系统睡眠失败：{}	Systemruhezustand konnte nicht wiederhergestellt werden: {}
我的	Eigene
截图已输出到 {}	Aufnahmen unter {} gesichert
所属应用：{}（{}）	App: {} ({})
所有内容先移到废纸篓。	Alles wird zuerst in den Papierkorb verschoben.
所有指标合成一个图标，点击弹出状态总览，可切到各项详情	Alle Kennzahlen in einem Symbol; ein Klick öffnet die Übersicht mit Tabs für Details
所有检测目标都连不上。请检查网络连接，或者代理软件是否正常运行。	Keines der Testziele ist erreichbar. Prüfen Sie Ihre Netzwerkverbindung und ob die Proxy-App ordnungsgemäß läuft.
所有用户	Alle Benutzer
所有用户与系统级的启动项需要管理员权限，请在系统设置的登录项中管理	Startobjekte für alle Benutzer und das System benötigen Administratorrechte; verwalten Sie sie unter „Anmeldeobjekte“ in den Systemeinstellungen
所有磁盘合计	Alle Laufwerke
手动	Manuell
手动下载	Manuell herunterladen
打包版本、系统与辅助工具状态、主要设置、最近 3 天的运行日志和崩溃报告，反馈问题时附上；会去掉序列号、IP 与硬件地址	Erstellt ein Paket mit Version, System- und Hilfsprogrammstatus, wichtigen Einstellungen sowie Protokollen und Absturzberichten der letzten 3 Tage für einen Fehlerbericht. Seriennummern, IP- und Hardwareadressen werden entfernt.
打包生成的 .xcarchive，删除后无法重新符号化旧版本崩溃日志	.xcarchive-Pakete; nach dem Löschen lassen sich alte Absturzberichte nicht mehr symbolizieren
打开 SMC 失败 ({})	SMC konnte nicht geöffnet werden ({})
打开 XStats	XStats öffnen
打开 XStats 主窗口	XStats-Fenster öffnen
打开登录项设置	Anmeldeobjekt-Einstellungen öffnen
打开网络详情时向 Cloudflare（1.1.1.1）或 ipify 查询一次公网地址，10 分钟内不重复请求；归属地、ASN、网络类型与纯净度由这台 Mac 直接向 cleanip.io 查询，只发送公网地址	Beim Öffnen der Netzwerkdetails wird die öffentliche IP bei Cloudflare (1.1.1.1) oder ipify abgefragt, höchstens alle 10 Minuten. Standort, ASN, Netzwerktyp und Reputation fragt dieser Mac direkt bei cleanip.io ab; nur die öffentliche IP wird gesendet
打开进程页	Prozesse anzeigen
打开通知设置	Mitteilungseinstellungen öffnen
托管	Hosting
执行中	Wird ausgeführt
扫描中	Scan läuft
扫描中…	Scan läuft …
扫描于 	Geprüft 
抖动	Jitter
抖音	Douyin
折线历史	Linienverlauf
折线是最近 30 次采样（约 1 分钟）的走势	Die Linie zeigt die letzten 30 Messungen (etwa 1 Minute)
拷贝	Kopieren
拷贝 PID	PID kopieren
拷贝 PID {}	PID {} kopieren
持续时间	Dauer
按下快捷键…	Kurzbefehl drücken …
按单核满载为 100% 计：{}	Pro Kern (ein voller Kern = 100 %): {}
按应用	Nach App
按应用汇总	Nach App
按文件夹	Nach Ordner
按系统代理访问国际网站	Internationale Websites über Systemproxy
按系统休眠	Systemruhezustand
按规则分流	Regelbasiertes Routing
按进程	Nach Prozess
换一台 Mac 登录后，菜单栏、外观、通知与快捷键等偏好会自动恢复。不登录也能使用全部功能。	Nach der Anmeldung auf einem anderen Mac werden Menüleisten-, Darstellungs-, Mitteilungs- und Kurzbefehleinstellungen automatisch wiederhergestellt. Alle Funktionen sind auch ohne Anmeldung verfügbar.
换入 / 换出	Einlagern / Auslagern
掌托	Handballenauflage
排队程度	Warteschlange
探测目标	Prüfziel
探针一直没有返回结果，稍后再试	Die Messpunkte haben kein Ergebnis geliefert; später erneut versuchen
探针数量，一个探针占一次额度	Anzahl der Messpunkte; jeder verbraucht einen Test des Kontingents
接入 Cloudflare 的网站能实测出口，其余按国内 / 国际规则推断	Bei Websites hinter Cloudflare wird der Ausgang gemessen, bei anderen anhand der China-/Auslandsregel abgeleitet
接口	Schnittstelle
接通电源	Am Stromnetz
推出	Auswerfen
推出中…	Wird ausgeworfen …
推断	Abgeleitet
搜索名称、PID 或用户	Name, PID oder Benutzer suchen
搜索应用	Apps suchen
搜索语言	Sprachen suchen
撤销	Widerrufen
收起	Einklappen
改回开机后累计	Zurück zu Werten seit Start
政府	Behörde
教育网	Bildungsnetz
散热模式	Kühlung
数据	Daten
数据来源	Quelle
整体风格	Gesamtstil
整体风格套用到所有项目。想让某个项目不一样，在下面“显示项目”里给它单独选一种，比如 CPU 用圆环、风扇用数字。	Der Gesamtstil gilt für alle Elemente. Wählen Sie unter „Elemente“ unten einen eigenen Stil für einzelne Elemente, etwa einen CPU-Ring oder Zahlen für den Lüfter.
整机	System
整机 {}	System {}
整机功耗	Systemleistungsaufnahme
文件系统检查	Dateisystemprüfung
文件系统结构完好，没有发现错误	Die Dateisystemstruktur ist intakt; keine Fehler gefunden
新版本未通过 Apple 公证检查，已放弃安装	Die neue Version hat die Apple-Notarisierungsprüfung nicht bestanden; Installation abgebrochen
新版本需要 macOS {} 或更高版本	Die neue Version benötigt macOS {} oder neuer
无	Keine
无 Bundle ID	Keine Bundle-ID
无法创建电源断言（{}）	Ruhezustandssperre konnte nicht erstellt werden ({})
无法创建签名要求	Signaturanforderung konnte nicht erstellt werden
无法打开	Öffnen nicht möglich
无法打开登录窗口	Anmeldefenster konnte nicht geöffnet werden
无法推出“{}”：{}	„{1}“ konnte nicht ausgeworfen werden: {2}
无法确认是否经过代理	Proxy-Nutzung nicht bestätigt
无法移到废纸篓：{}	Verschieben in den Papierkorb fehlgeschlagen: {}
无法读取	Nicht lesbar
无法读取签名	Signatur konnte nicht gelesen werden
无法连接 WebDAV，请检查网络、地址和 HTTPS 证书	Verbindung zu WebDAV nicht möglich. Netzwerk, URL und HTTPS-Zertifikat prüfen
无法连接辅助工具	Verbindung zum Hilfsprogramm nicht möglich
无法连接辅助工具：{}	Verbindung zum Hilfsprogramm nicht möglich: {}
无需清理	Nichts zu bereinigen
日志与崩溃报告	Protokolle und Absturzberichte
显卡信息	GPU-Informationen
显示 / 隐藏主窗口	Hauptfenster ein-/ausblenden
显示 {} 项	{} angezeigt
显示为 {}×{}	Darstellung wie {}×{}
显示名称：{}	Anzeigename: {}
显示器	Bildschirme
显示序列号	Seriennummer anzeigen
显示项目	Elemente
暂时没有拿到评分，稍后会再试	Noch keine Bewertung verfügbar; später wird erneut versucht
更新内容	Neuerungen
更省电，负责后台和轻量任务	Sparsamer; übernimmt leichte Aufgaben und Hintergrundarbeit
替换后未找到应用	App nach Austausch nicht gefunden
替换应用失败：{}	App konnte nicht ersetzt werden: {}
最低 {} · 最高 {} · 目标 {} RPM	Min. {} · Max. {} · Ziel {} U/min
最大的文件	Größte Dateien
最小化	Minimieren
最强	Am stärksten
最忙的核心	Stärkst ausgelasteter Kern
最快，重活优先交给它们	Am schnellsten; übernimmt bevorzugt rechenintensive Aufgaben
最近 24 小时	Letzte 24 Stunden
最近 60 秒	Letzte 60 Sekunden
最近没有应用在读写磁盘	Derzeit lesen oder schreiben keine Apps auf das Laufwerk
最近的内存压力走势	Aktueller Speicherdruckverlauf
最近错误	Letzter Fehler
最高	Maximum
最高 / 平均	Max. / Ø
最高温度	Höchsttemperatur
服务器在 getopenstats.com，不上传任何监控数据；随时可以删除。	Der Server befindet sich auf getopenstats.com. Überwachungsdaten werden nicht hochgeladen; Sie können alles jederzeit löschen.
服务器返回 {}	Server meldet {}
服务器返回的数据格式不正确	Der Server hat ungültig formatierte Daten geliefert
未使用	Unbenutzt
未使用代理	Kein Proxy verwendet
未保存的内容可能会丢失。强制退出会立即结束，不给应用保存的机会。	Ungesicherte Arbeit kann verloren gehen. „Sofort beenden“ beendet die App ohne Gelegenheit zum Sichern.
未发现	Nichts gefunden
未安装	Nicht installiert
未完成的下载	Unvollständige Downloads
未开启，Mac 按系统设置休眠	Deaktiviert; der Mac geht wie gewohnt in den Ruhezustand
未找到 AppleSMC 服务	AppleSMC-Dienst nicht gefunden
未检出	Nichts erkannt
未检测到可调节的风扇	Keine regelbaren Lüfter gefunden
未检测到风扇	Keine Lüfter erkannt
未知状态	Unbekannter Status
未签名或临时签名	Nicht oder ad hoc signiert
未签名（开发构建）	Nicht signiert (Entwicklungsversion)
未设置	Nicht festgelegt
未连接	Nicht verbunden
未连接网络	Kein Netzwerk
本地 IPv4	Lokale IPv4
本地 IPv6	Lokale IPv6
本地快照	Lokale Schnappschüsse
本机 IP 这一小时还剩 {}/{} 次探针额度	{}/{} Tests in dieser Stunde für die IP dieses Mac übrig
本机信息	Dieser Mac
本机宽带	Ihr Anschluss
本机网络	Ihr Netzwerk
本机设置已上传	Lokale Einstellungen hochgeladen
本次用掉 {}	{} verbraucht
机型	Modell
机型标识符	Modell-Identifizierung
机房	Rechenzentrum
机房 IP	Rechenzentrums-IP
极好	Hervorragend
极高风险	Sehr hohes Risiko
构建	Build
查看	Anzeigen
查看{}详情	Details zu {} anzeigen
查看全部进程	Alle Prozesse
查看包含的项目	Enthaltene Objekte anzeigen
查看完整更新日志	Vollständiges Änderungsprotokoll
查看清理日志	Bereinigungsprotokoll anzeigen
查询中…	Wird abgefragt …
查询公网 IP	Öffentliche IP abfragen
查询已关闭	Abfrage deaktiviert
柱状历史	Balkenverlauf
标签与数值同一行，最易读	Beschriftung und Wert in einer Zeile; am besten lesbar
标识	Kennung
核心	Kerne
核心 {}	Kern {}
核心 {}（{}）· {}	Kern {} ({}) · {}
核心分工	Kerntypen
核心数	Kerne
核心最高温度；余量是离 100°C 还差多少度，越接近 0 越可能因过热降频	Wärmster Kern; der Spielraum ist der Abstand zu 100 °C. Je näher an 0, desto wahrscheinlicher wird thermische Drosselung
核心热力图	Kern-Heatmap
核心负载	Kernauslastung
检查	Prüfen
检查 VPN 与代理是否生效、各网站从哪个出口出去	Prüft VPN, Proxy und den Ausgang jeder Website
检查中…	Wird geprüft …
检查完成，但没有得到明确结论	Prüfung abgeschlossen, aber ohne eindeutiges Ergebnis
检查更新	Nach Updates suchen
检查更新…	Nach Updates suchen …
检查更新失败	Updateprüfung fehlgeschlagen
检查未能完成（退出码 {}）	Prüfung nicht abgeschlossen (Exit-Code {})
检测中 {}/{}	Prüfung {}/{}
检测到 {}，但测试的网站都在直连，没有经过代理出口。	{} erkannt, aber alle getesteten Websites verbinden sich direkt ohne Proxy-Ausgang.
模式	Modus
模拟器	Simulatoren
模拟器缓存	Simulator-Caches
正在上传设置…	Einstellungen werden hochgeladen …
正在下载	Wird heruntergeladen
正在下载设置…	Einstellungen werden heruntergeladen …
正在使用	In Verwendung
正在修改 DNS…	DNS wird geändert …
正在同步	Wird synchronisiert
正在同步…	Wird synchronisiert …
正在安装，完成后 XStats 会自动重启。	Installation läuft. XStats startet danach automatisch neu.
正在导出…	Wird exportiert …
正在导出诊断信息…	Diagnose wird exportiert …
正在扫描应用…	Apps werden geprüft …
正在收集走势…	Verlauf wird erfasst …
正在本机生成…	Wird auf diesem Mac erstellt …
正在查找残留…	Restdateien werden gesucht …
正在查询…	Wird abgefragt …
正在核对启动盘的文件系统结构，通常几秒到几十秒	Die Dateisystemstruktur des Startvolumes wird geprüft; dies dauert meist wenige Sekunden bis eine Minute
正在核对校验值、开发者签名与 Apple 公证…	Prüfsumme, Entwicklersignatur und Apple-Notarisierung werden geprüft …
正在检查…	Wird geprüft …
正在检查更新	Updates werden gesucht
正在检测出口与分流…	Ausgänge und Routing werden geprüft …
正在测 {}/{}	Test {}/{}
正在测上行	Upload wird gemessen
正在测下行	Download wird gemessen
正在测延迟	Latenz wird gemessen
正在清理…	Wird bereinigt …
正在移除…	Wird entfernt …
正在统计…	Wird gezählt …
正在统计各进程流量…	Datenverkehr je Prozess wird gemessen …
正在计算可清理空间	Bereinigbarer Speicher wird berechnet
正在读取 SMART 信息；外置磁盘或不支持 NVMe SMART 的磁盘不显示	SMART-Daten werden gelesen; externe Laufwerke und Laufwerke ohne NVMe SMART werden nicht angezeigt
正在读取…	Wird geladen …
正在读取传感器…	Sensoren werden gelesen …
正在读取进程…	Prozesse werden gelesen …
正在读取风扇…	Lüfter werden gelesen …
正在释放…	Wird freigegeben …
正常	Normal
此刻各核心的占用；超过 60% 变橙色、85% 变红色	Aktuelle Auslastung je Kern; über 60 % orange, über 85 % rot
此设备没有可调节的风扇	Dieser Mac hat keine regelbaren Lüfter
每个应用占整机 CPU 的比例：{} 个核心全部跑满为 100%，与顶部的总占用是同一把尺子。鼠标悬停在数值上可以看按单核计的占用（活动监视器的算法）	Anteil jeder App an der gesamten CPU: Alle {} Kerne voll ausgelastet entsprechen 100 %, wie bei der Gesamtauslastung oben. Beim Bewegen des Zeigers über den Wert erscheint die Auslastung je Kern (wie in der Aktivitätsanzeige)
每个指标一个图标，点击弹出该项详情	Ein Symbol je Kennzahl; ein Klick öffnet die Details
每分钟把主要指标的平均值与峰值写入本机数据库，保留 7 天，不上传	Speichert jede Minute Durchschnitts- und Spitzenwerte in einer lokalen Datenbank. Aufbewahrung 7 Tage, kein Upload.
每核 {}	{} je Kern
每根柱子一个核心，按核心类型着色	Ein Balken je Kern, nach Kerntyp gefärbt
每点 {}	{} je Punkt
每秒让 CPU 从空闲中唤醒的次数，越高越耗电	CPU-Aufweckvorgänge pro Sekunde aus dem Leerlauf; höhere Werte verbrauchen mehr Strom
每秒读写磁盘的字节数	Pro Sekunde gelesene und geschriebene Bytes
每行一个核心（共 {} 个），每列一次采样，颜色越深越忙；右侧粗条是此刻的占用	Eine Zeile je Kern ({} insgesamt), eine Spalte je Messung; dunkler bedeutet stärker ausgelastet. Der breite Balken rechts zeigt die aktuelle Last
每项独立	Einzeln
比 30 秒前低 {}%	{} % niedriger als vor 30 Sek.
比 30 秒前高 {}%	{} % höher als vor 30 Sek.
永久删除废纸篓中的内容，无法恢复	Löscht den Papierkorbinhalt unwiderruflich
沙盒容器	Sandbox-Container
没有匹配的语言	Keine passenden Sprachen
没有匹配的进程	Keine passenden Prozesse
没有启动项	Keine Startobjekte
没有已连接的蓝牙设备	Keine verbundenen Bluetooth-Geräte
没有检测到 VPN 或系统代理，所有流量都从本机网络直接出去。	Kein VPN oder Systemproxy erkannt. Der gesamte Datenverkehr verlässt Ihr Netzwerk direkt.
没有检测到显示器	Keine Bildschirme erkannt
没有电池	Keine Batterie
没有移动任何文件{}	Keine Dateien verschoben{}
没有超过 50 MB 的文件	Keine Dateien über 50 MB
流量历史	Datenverkehrsverlauf
流量经过 {}，系统 DNS 可能由它接管，修改后不一定生效。	Der Verkehr läuft über {}, das möglicherweise das System-DNS übernimmt. Änderungen werden daher eventuell nicht wirksam.
浅色	Hell
浅色菜单栏预览	Vorschau der hellen Menüleiste
测延迟	Latenz
测本机宽带、国内分省三网延迟与全球节点	Testet Ihren Anschluss, die Latenz nach chinesischer Provinz und Anbieter sowie globale Knoten
测试的网站都经 {} 的{}，没有暴露本机网络的地址。	Alle getesteten Websites laufen über {}: {}. Ihre eigene Netzwerkadresse wird nicht offengelegt.
测速	Testen
浏览器	Browser
淘宝	Taobao
深色	Dunkel
深色菜单栏预览	Vorschau der dunklen Menüleiste
清理	Bereinigung
清理中…	Wird bereinigt …
清理可回收的缓存内存（需要管理员授权或辅助工具）	Gibt rückgewinnbaren Cache-Arbeitsspeicher frei (Administratorfreigabe oder Hilfsprogramm erforderlich)
清理所选 {}	Auswahl bereinigen: {}
清空废纸篓	Papierkorb leeren
清除	Leeren
清除…	Leeren …
清除全部历史记录？	Gesamten Verlauf löschen?
清除历史	Verlauf löschen
清除快捷键	Kurzbefehl löschen
清除搜索	Suche löschen
温度	Temperatur
温度与风扇	Temperatur und Lüfter
温度传感器	Temperatursensoren
温度单位	Temperatureinheit
满载	Voll ausgelastet
滥用记录	Missbrauchsmeldungen
点击拷贝	Zum Kopieren klicken
版本	Version
版本 {}	Version {}
版本 {}{}	Version {}{}
版本是 {}，清单写的是 {}	Version ist {}, im Manifest steht jedoch {}
版本清单格式不正确	Ungültiges Versionsmanifest
物理地址	Hardwareadresse
状态	Status
状态圆点	Statuspunkt
状态总览	Statusübersicht
状态正常	In Ordnung
状态良好	In Ordnung
现在	Jetzt
现在没有本地快照	Derzeit keine lokalen Schnappschüsse
用 Apple 智能解释	Mit Apple Intelligence erklären
用户	Benutzer
用户 {}	Benutzer {}
用户名	Benutzername
用户资源库	Benutzer-Library
用系统图标代替文字标签	Systemsymbole statt Textbeschriftungen
由 Apple 智能在这台 Mac 上生成，不联网；内容可能不准确，结束进程前请自行确认。	Offline auf diesem Mac mit Apple Intelligence erstellt. Die Angaben können ungenau sein; vor dem Beenden eines Prozesses selbst prüfen.
由 SMC 与系统能耗统计读取；新款芯片不提供可靠的 CPU 单独功耗	Aus SMC und Systemenergiestatistik gelesen; neuere Chips liefern keine verlässliche reine CPU-Leistungsaufnahme
由 macOS 调节	Von macOS geregelt
由辅助工具执行	Vom Hilfsprogramm ausgeführt
电池	Batterie
电池 {}	Batterie {}
电池供电	Im Batteriebetrieb
电池健康	Batteriezustand
电池健康度下降	Batteriezustand verschlechtert
电池充电	Batterie wird geladen
电池放电	Batterie wird entladen
电池最大容量为 {}，续航会明显缩短。可以在“系统设置 › 电池”查看是否建议维修。	Die maximale Batteriekapazität beträgt {}, wodurch sich die Laufzeit deutlich verkürzt. Unter „Systemeinstellungen › Batterie“ finden Sie Wartungsempfehlungen.
电池最大容量低于 80%，每 30 天最多提醒一次	Maximale Batteriekapazität unter 80 %; höchstens einmal alle 30 Tage benachrichtigen
电池温度	Batterietemperatur
电池电量	Batteriestand
电池设置	Batterieeinstellungen
电源	Stromversorgung
电源供电	Im Netzbetrieb
电源输入	Netzteileingang
电源适配器{}	Netzteil{}
电量	Batteriestand
电量下限	Mindestladung
电量与充电状态；没有电池的 Mac 显示蓝牙设备电量	Ladestand und Ladestatus; Macs ohne Batterie zeigen den Ladestand von Bluetooth-Geräten
电量低于 {}%，已关闭合盖运行	Batterie unter {} %; Deckelmodus deaktiviert
电量历史	Ladeverlauf
电量条	Füllstandsanzeige
登录以同步设置	Zum Synchronisieren anmelden
登录启动项	Startagenten
登录回调不正确	Ungültiger Anmelderückruf
登录已失效，请重新登录	Ihre Sitzung ist abgelaufen. Bitte erneut anmelden.
登录时启动	Bei Anmeldung starten
登录时运行	Läuft bei Anmeldung
登录项设置	Anmeldeobjekte
百度	Baidu
监控	Überwachung
目标转速	Zieldrehzahl
直连	Direkt
相当于“磁盘工具”里的急救，但只检查不修改：核对启动盘的目录结构、文件分配与快照元数据是否一致。	Wie „Erste Hilfe“ im Festplattendienstprogramm, aber nur lesend: Prüft die Konsistenz von Verzeichnisstruktur, Dateizuordnung und Schnappschuss-Metadaten des Startvolumes.
省份	Provinz
确认清理	Bereinigen
确认通知能正常显示	Prüfen, ob Mitteilungen angezeigt werden
磁盘	Laufwerk
磁盘已用 {}	Laufwerk: {} belegt
磁盘报告了严重警告，建议尽快备份	Das Laufwerk meldet eine kritische Warnung; möglichst bald sichern
磁盘清理	Datenträgerbereinigung
磁盘空间不足	Wenig Speicherplatz
磁盘空间偏紧	Speicherplatz wird knapp
社交	Soziale Netzwerke
移到废纸篓	In den Papierkorb verschieben
移到废纸篓？	In den Papierkorb verschieben?
移动网络	Mobilfunk
移动网络 IP	Mobilfunk-IP
移动运营商	Mobilfunkanbieter
空	Leer
空格	Leertaste
空闲	Leerlauf
空间占用	Speicherbelegung
窗口	Fenster
