# Copyright (C) 2026 ysicing
# SPDX-License-Identifier: AGPL-3.0-or-later
安装包不支持这台 Mac 的芯片	이 업데이트는 이 Mac의 칩을 지원하지 않습니다
安装包内容不正确：{}	업데이트 패키지가 올바르지 않습니다: {}
安装包校验值与版本清单不一致，已放弃安装	체크섬이 버전 목록과 일치하지 않아 설치를 중단했습니다
安装失败：{}	설치 실패: {}
安装辅助工具	도우미 설치
安静	조용함
定时 ping 一个地址，记录网络是否通畅	주소에 주기적으로 ping을 보내 네트워크 연결 상태를 기록합니다
定时探测网络	주기적 연결 확인
实测	실측
家目录	홈 폴더
容量	용량
密码仅保存在这台 Mac 的钥匙串中	암호는 이 Mac의 키체인에만 저장됩니다
密码或应用专用密码	암호 또는 앱 전용 암호
导出…	내보내기…
导出失败：{}	내보내기 실패: {}
导出时间	내보낸 시각
导出诊断信息	진단 정보 내보내기
寿命偏低，注意备份	남은 수명이 적습니다. 백업하세요
寿命按厂商估算的已用比例计算；写入量越大消耗越快，日常使用通常可用很多年	수명은 제조사의 마모 추정치에 기반합니다. 쓰기량이 많을수록 빨리 소모되며 일반적으로는 여러 해 사용할 수 있습니다
将应用 {} 保存的设置，覆盖本机对应偏好。	{}에 저장된 설정을 적용하여 해당 로컬 환경설정을 덮어씁니다.
将清理 {} 个项目，共 {}。{}	{}개 항목, 총 {}을(를) 정리합니다. {}
将移到废纸篓	휴지통으로 이동합니다
小标签在上、数值在下，最紧凑	작은 이름표 아래에 값을 표시하는 가장 간결한 형식
尚未检查	아직 확인하지 않음
屏幕保持常亮	화면 항상 켜기
屏幕可按设置关闭，下载、编译等后台任务继续运行	화면은 설정대로 꺼지며 다운로드와 빌드 등 백그라운드 작업은 계속됩니다
屏幕和系统都不会因闲置而关闭或休眠	사용하지 않을 때도 화면과 시스템이 잠자기에 들어가지 않습니다
展开{}	{} 펼치기
峰值	최고치
峰值 {}	최고치 {}
工具	도구
左侧风扇	왼쪽 팬
左耳	왼쪽
已{}“{}”	{} 완료: “{}”
已使用 Developer ID 签名	Developer ID로 서명됨
已停用	꺼짐
已充满	충전 완료
已删除 {} 个快照，腾出的空间稍后会反映在“可清除”里	스냅샷 {}개를 삭제했습니다. 확보된 공간은 잠시 후 제거 가능 공간에 반영됩니다
已到设定时间，防休眠已关闭	설정 시간이 끝나 잠자기 방지가 꺼졌습니다
已加载	로드됨
已取消	취소됨
已取消登录	로그인이 취소되었습니다
已启用	켜짐
已导出 {}	{} 내보내기 완료
已将 {} 与 {} 项残留移到废纸篓，约 {}{}{}。需要时可以在废纸篓里放回。	{} 및 잔여 항목 {}개(약 {}{}{})를 휴지통으로 이동했습니다. 필요하면 휴지통에서 복원할 수 있습니다.
已应用远端设置	원격 설정을 적용했습니다
已开启同步	동기화 켜짐
已恢复自动获取 DNS	DNS 자동 설정으로 복귀했습니다
已扫描 {} 个条目 · {}	{}개 항목 스캔됨 · {}
已把“{}”移到废纸篓	“{}”을(를) 휴지통으로 이동했습니다
已拷贝	복사됨
已推出“{}”	“{}”을(를) 추출했습니다
已是最新版本	최신 버전입니다
已用	사용됨
已用 {} · {}	사용됨 {} · {}
已用内存占比	메모리 사용률
已记录的数据会从本机删除，无法恢复。	기록된 데이터가 이 Mac에서 삭제되며 복원할 수 없습니다.
已运行	가동 시간
已运行 	가동 시간 
已连接	연결됨
已连接的键盘、鼠标、耳机等电量低于 15%，每 10 分钟检查一次	연결된 키보드, 마우스, 헤드폰 등의 배터리가 15% 미만인지 10분마다 확인
已选 {} 项 · {}	{}개 선택됨 · {}
已释放	확보됨
已释放 {} 缓存内存	캐시 메모리 {}을(를) 확보했습니다
布局	레이아웃
干净	깨끗함
平均	평균
平均 {} · 峰值 {}{}	평균 {} · 최고 {}{}
平均 {} · 最高 {}	평균 {} · 최대 {}
平均温度	평균 온도
平均负载除以核心数：小于 1 表示任务不用排队，大于 1 表示有任务在等 CPU	코어당 평균 부하입니다. 1 미만이면 대기 없음, 1 초과면 CPU를 기다리는 작업이 있습니다
广播 IP	브로드캐스트 IP
序列号	일련 번호
应用	앱
应用 UI 语言	앱 표시 언어
应用 {} / 辅助工具 {}	앱 {} / 도우미 {}
应用与勾选的 {} 项残留会移到废纸篓，约 {}。清空废纸篓前都可以放回。	앱과 선택한 잔여 항목 {}개(약 {})를 휴지통으로 이동합니다. 휴지통을 비우기 전까지 복원할 수 있습니다.
应用包内未找到辅助工具，请使用完整构建的 XStats.app	앱 번들에서 도우미를 찾을 수 없습니다. 완전한 XStats.app 빌드를 사용하세요
应用并覆盖	적용 및 덮어쓰기
应用拒绝退出，可以试试强制退出	앱이 종료를 거부했습니다. 강제 종료를 시도하세요
应用数据	앱 데이터
应用日志与崩溃报告	앱 로그 및 충돌 보고서
应用本体	앱 본체
应用正在运行，请先退出	앱이 실행 중입니다. 먼저 종료하세요
应用程序文件夹	응용 프로그램 폴더
应用缓存	앱 캐시
应用远端设置？	원격 설정을 적용하시겠습니까?
应用退出或断开连接时，自动恢复风扇与睡眠设置	앱 종료 또는 연결 해제 시 팬과 잠자기 설정을 자동으로 복원합니다
废纸篓	휴지통
延迟	지연
开	켬
开关防休眠	잠자기 방지 전환
开发	개발
开发构建不支持在线升级	개발 빌드는 온라인 업데이트를 지원하지 않습니다
开发构建不支持在线升级，请下载安装包	개발 빌드는 온라인 업데이트를 지원하지 않습니다. 설치 파일을 다운로드하세요
开发版	개발 버전
开发者	개발자
开启	켬
开启 / 关闭“合盖不睡眠”（等同 pmset disablesleep）	덮개를 닫을 때 잠자기 방지 켜기/끄기(pmset disablesleep과 동일)
开启后图标出现在菜单栏；按住 ⌘ 键拖动图标可以调整位置	메뉴 막대에 아이콘을 추가합니다. ⌘ 키를 누른 채 드래그하면 위치를 옮길 수 있습니다
开始分析	분석 시작
开始探测	측정 시작
开机以来	부팅 이후
开机后上传	부팅 이후 업로드
开机后下载	부팅 이후 다운로드
开机后自动在菜单栏显示 XStats	로그인 후 메뉴 막대에 XStats 자동 표시
异常断电	비정상 전원 종료
弹窗显示	팝오버 표시 항목
强冷	최대 냉각
强制刷新：忽略缓存，立即重新查询公网 IP 与归属地	강제 새로 고침: 캐시를 무시하고 공인 IP와 위치를 즉시 다시 조회
强制退出	강제 종료
归属地	위치
归属地数据来自	위치 데이터 출처
当前 {} · 发布于 {} · {} · {}	현재 {} · 출시 {} · {} · {}
当前为临时签名的开发构建，辅助工具只能校验应用标识。使用 Developer ID 证书构建后会自动启用团队校验。	임시 서명된 개발 빌드이므로 도우미는 앱 ID만 확인할 수 있습니다. Developer ID로 빌드하면 팀 확인이 자동으로 활성화됩니다.
当前效果（实时数据）	미리보기(실시간 데이터)
当前版本	현재 버전
当前版本 {}	현재 버전 {}
当前版本 {} · {} · {}	현재 버전 {} · {} · {}
当前用户	현재 사용자
录制快捷键	단축키 기록
影音	동영상
循环 {} 次	충전 사이클 {}회
循环次数	사이클 수
微信	WeChat
忙	사용 중
快捷开关	빠른 전환
快照名称格式不认识，没有删除	스냅샷 이름 형식을 알 수 없어 삭제하지 않았습니다
性能核	성능 코어
总占用	전체 사용률
总览	개요
恢复系统睡眠失败：{}	시스템 잠자기 복원 실패: {}
我的	내 계정
截图已输出到 {}	스크린샷을 {}에 저장했습니다
所属应用：{}（{}）	앱: {}({})
所有内容先移到废纸篓。	모든 항목을 먼저 휴지통으로 이동합니다.
所有指标合成一个图标，点击弹出状态总览，可切到各项详情	모든 지표를 아이콘 하나로 합칩니다. 클릭하면 상태 개요가 열리고 각 지표의 상세 정보로 전환할 수 있습니다
所有检测目标都连不上。请检查网络连接，或者代理软件是否正常运行。	모든 측정 대상에 연결할 수 없습니다. 네트워크 연결과 프록시 앱 작동 상태를 확인하세요.
所有用户	모든 사용자
所有用户与系统级的启动项需要管理员权限，请在系统设置的登录项中管理	모든 사용자 및 시스템 시작 항목에는 관리자 권한이 필요합니다. 시스템 설정의 로그인 항목에서 관리하세요
所有磁盘合计	전체 디스크 합계
手动	수동
手动下载	수동 다운로드
打包版本、系统与辅助工具状态、主要设置、最近 3 天的运行日志和崩溃报告，反馈问题时附上；会去掉序列号、IP 与硬件地址	문제 신고에 첨부할 버전, 시스템과 도우미 상태, 주요 설정, 최근 3일의 로그와 충돌 보고서를 묶습니다. 일련 번호, IP, 하드웨어 주소는 제외합니다
打包生成的 .xcarchive，删除后无法重新符号化旧版本崩溃日志	빌드 시 생성된 .xcarchive입니다. 삭제하면 이전 버전 충돌 로그의 심볼을 복원할 수 없습니다
打开 SMC 失败 ({})	SMC 열기 실패({})
打开 XStats	XStats 열기
打开 XStats 主窗口	XStats 주 윈도우 열기
打开登录项设置	로그인 항목 설정 열기
打开网络详情时向 Cloudflare（1.1.1.1）或 ipify 查询一次公网地址，10 分钟内不重复请求；归属地、ASN、网络类型与纯净度由这台 Mac 直接向 cleanip.io 查询，只发送公网地址	네트워크 상세 정보를 열면 Cloudflare(1.1.1.1) 또는 ipify에서 공인 주소를 10분에 최대 한 번 조회합니다. 위치, ASN, 네트워크 유형과 신뢰도는 이 Mac이 공인 주소만 cleanip.io에 보내 직접 조회합니다
打开进程页	프로세스 보기
打开通知设置	알림 설정 열기
托管	호스팅
执行中	실행 중
扫描中	스캔 중
扫描中…	스캔 중…
扫描于 	스캔 시각 
抖动	지터
抖音	Douyin
折线历史	선 그래프 기록
折线是最近 30 次采样（约 1 分钟）的走势	선은 최근 30회 측정(약 1분)의 추이를 표시합니다
拷贝	복사
拷贝 PID	PID 복사
拷贝 PID {}	PID {} 복사
持续时间	지속 시간
按下快捷键…	단축키를 누르세요…
按单核满载为 100% 计：{}	코어 하나의 최대 사용률을 100%로 계산: {}
按应用	앱별
按应用汇总	앱별 요약
按文件夹	폴더별
按系统代理访问国际网站	해외 사이트는 시스템 프록시 경유
按系统休眠	시스템 잠자기 설정 사용
按规则分流	규칙 기반 라우팅
按进程	프로세스별
换一台 Mac 登录后，菜单栏、外观、通知与快捷键等偏好会自动恢复。不登录也能使用全部功能。	다른 Mac에서 로그인하면 메뉴 막대, 모양, 알림, 단축키 등의 설정이 자동으로 복원됩니다. 로그인 없이도 모든 기능을 사용할 수 있습니다.
换入 / 换出	스왑 인 / 아웃
掌托	팜레스트
排队程度	실행 대기
探测目标	측정 대상
探针一直没有返回结果，稍后再试	탐색 노드가 결과를 반환하지 않았습니다. 나중에 다시 시도하세요
探针数量，一个探针占一次额度	탐색 노드 수입니다. 노드 하나당 할당량을 한 번 사용합니다
接入 Cloudflare 的网站能实测出口，其余按国内 / 国际规则推断	Cloudflare 사용 사이트는 출구를 실측하고 나머지는 중국 내/해외 규칙으로 추정합니다
接口	인터페이스
接通电源	전원 연결됨
推出	추출
推出中…	추출 중…
推断	추정
搜索名称、PID 或用户	이름, PID 또는 사용자 검색
搜索应用	앱 검색
搜索语言	언어 검색
撤销	실행 취소
收起	접기
改回开机后累计	부팅 이후 누계로 돌아가기
政府	정부
教育网	교육망
散热模式	냉각 모드
数据	데이터
数据来源	데이터 출처
整体风格	전체 스타일
整体风格套用到所有项目。想让某个项目不一样，在下面“显示项目”里给它单独选一种，比如 CPU 用圆环、风扇用数字。	전체 스타일은 모든 항목에 적용됩니다. 아래 표시 항목에서 CPU는 링, 팬은 숫자처럼 개별 스타일을 선택할 수 있습니다.
整机	전체 시스템
整机 {}	전체 시스템 {}
整机功耗	시스템 소비 전력
文件系统检查	파일 시스템 검사
文件系统结构完好，没有发现错误	파일 시스템 구조가 정상이며 오류가 없습니다
新版本未通过 Apple 公证检查，已放弃安装	새 버전이 Apple 공증 확인에 실패하여 설치를 중단했습니다
新版本需要 macOS {} 或更高版本	새 버전은 macOS {} 이상이 필요합니다
无	없음
无 Bundle ID	Bundle ID 없음
无法创建电源断言（{}）	전원 어설션을 생성할 수 없습니다({})
无法创建签名要求	서명 요구 사항을 생성할 수 없습니다
无法打开	열 수 없음
无法打开登录窗口	로그인 윈도우를 열 수 없습니다
无法推出“{}”：{}	“{}” 추출 실패: {}
无法确认是否经过代理	프록시 사용 확인 불가
无法移到废纸篓：{}	휴지통으로 이동할 수 없습니다: {}
无法读取	읽을 수 없음
无法读取签名	서명을 읽을 수 없습니다
无法连接 WebDAV，请检查网络、地址和 HTTPS 证书	WebDAV에 연결할 수 없습니다. 네트워크, URL, HTTPS 인증서를 확인하세요
无法连接辅助工具	도우미에 연결할 수 없습니다
无法连接辅助工具：{}	도우미 연결 실패: {}
无需清理	정리할 항목 없음
日志与崩溃报告	로그 및 충돌 보고서
显卡信息	GPU 정보
显示 / 隐藏主窗口	주 윈도우 표시 / 숨기기
显示 {} 项	{}개 표시
显示为 {}×{}	표시 해상도 {}×{}
显示名称：{}	표시 이름: {}
显示器	디스플레이
显示序列号	일련 번호 표시
显示项目	표시 항목
暂时没有拿到评分，稍后会再试	아직 점수를 가져오지 못했습니다. 나중에 다시 시도합니다
更新内容	업데이트 내용
更省电，负责后台和轻量任务	전력 효율이 높으며 백그라운드 및 가벼운 작업 담당
替换后未找到应用	교체 후 앱을 찾을 수 없습니다
替换应用失败：{}	앱 교체 실패: {}
最低 {} · 最高 {} · 目标 {} RPM	최소 {} · 최대 {} · 목표 {} RPM
最大的文件	가장 큰 파일
最小化	최소화
最强	최강
最忙的核心	가장 바쁜 코어
最快，重活优先交给它们	가장 빠르며 무거운 작업을 우선 처리
最近 24 小时	최근 24시간
最近 60 秒	최근 60초
最近没有应用在读写磁盘	현재 디스크를 읽거나 쓰는 앱이 없습니다
最近的内存压力走势	최근 메모리 압력
最近错误	최근 오류
最高	최대
最高 / 平均	최대 / 평균
最高温度	최고 온도
服务器在 getopenstats.com，不上传任何监控数据；随时可以删除。	서버는 getopenstats.com에 있습니다. 모니터링 데이터는 업로드하지 않으며 언제든 모두 삭제할 수 있습니다.
服务器返回 {}	서버 응답 {}
服务器返回的数据格式不正确	서버가 잘못된 형식의 데이터를 반환했습니다
未使用	미사용
未使用代理	프록시 사용 안 함
未保存的内容可能会丢失。强制退出会立即结束，不给应用保存的机会。	저장하지 않은 내용이 사라질 수 있습니다. 강제 종료하면 저장 기회 없이 즉시 종료됩니다.
未发现	발견되지 않음
未安装	설치되지 않음
未完成的下载	미완료 다운로드
未开启，Mac 按系统设置休眠	꺼짐. Mac은 시스템 설정대로 잠자기에 들어갑니다
未找到 AppleSMC 服务	AppleSMC 서비스를 찾을 수 없습니다
未检出	감지되지 않음
未检测到可调节的风扇	조절 가능한 팬을 찾을 수 없습니다
未检测到风扇	팬이 감지되지 않았습니다
未知状态	알 수 없는 상태
未签名或临时签名	서명 없음 또는 임시 서명
未签名（开发构建）	서명 없음(개발 빌드)
未设置	설정되지 않음
未连接	연결되지 않음
未连接网络	네트워크 연결 없음
本地 IPv4	로컬 IPv4
本地 IPv6	로컬 IPv6
本地快照	로컬 스냅샷
本机 IP 这一小时还剩 {}/{} 次探针额度	이 Mac IP의 이번 시간 남은 측정 횟수: {}/{}
本机信息	이 Mac 정보
本机宽带	이 Mac의 회선
本机网络	이 Mac의 네트워크
本机设置已上传	로컬 설정을 업로드했습니다
本次用掉 {}	이번 사용량 {}
机型	모델
机型标识符	모델 식별자
机房	데이터 센터
机房 IP	데이터 센터 IP
极好	매우 좋음
极高风险	매우 높은 위험
构建	빌드
查看	보기
查看{}详情	{} 상세 정보 보기
查看全部进程	모든 프로세스 보기
查看包含的项目	포함된 항목 보기
查看完整更新日志	전체 변경 기록 보기
查看清理日志	정리 로그 보기
查询中…	조회 중…
查询公网 IP	공인 IP 조회
查询已关闭	조회 꺼짐
柱状历史	막대 그래프 기록
标签与数值同一行，最易读	이름표와 값을 한 줄에 표시하여 읽기 쉬운 형식
标识	식별자
核心	코어
核心 {}	코어 {}
核心 {}（{}）· {}	코어 {}({}) · {}
核心分工	코어 역할
核心数	코어 수
核心最高温度；余量是离 100°C 还差多少度，越接近 0 越可能因过热降频	코어 최고 온도입니다. 여유는 100°C까지 남은 온도로 0에 가까울수록 과열로 성능이 낮아질 가능성이 높습니다
核心热力图	코어 히트맵
核心负载	코어 부하
检查	확인
检查 VPN 与代理是否生效、各网站从哪个出口出去	VPN 및 프록시 작동 여부와 사이트별 출구 확인
检查中…	확인 중…
检查完成，但没有得到明确结论	확인은 완료했지만 명확한 결론을 얻지 못했습니다
检查更新	업데이트 확인
检查更新…	업데이트 확인…
检查更新失败	업데이트 확인 실패
检查未能完成（退出码 {}）	확인을 완료하지 못했습니다(종료 코드 {})
检测中 {}/{}	확인 중 {}/{}
检测到 {}，但测试的网站都在直连，没有经过代理出口。	{}이(가) 감지되었지만 측정한 모든 사이트가 프록시를 통하지 않고 직접 연결됩니다.
模式	모드
模拟器	시뮬레이터
模拟器缓存	시뮬레이터 캐시
正在上传设置…	설정 업로드 중…
正在下载	다운로드 중
正在下载设置…	설정 다운로드 중…
正在使用	사용 중
正在修改 DNS…	DNS 변경 중…
正在同步	동기화 중
正在同步…	동기화 중…
正在安装，完成后 XStats 会自动重启。	설치 중입니다. 완료되면 XStats가 자동으로 다시 실행됩니다.
正在导出…	내보내는 중…
正在导出诊断信息…	진단 정보 내보내는 중…
正在扫描应用…	앱 스캔 중…
正在收集走势…	추이 수집 중…
正在本机生成…	이 Mac에서 생성 중…
正在查找残留…	잔여 항목 검색 중…
正在查询…	조회 중…
正在核对启动盘的文件系统结构，通常几秒到几十秒	시동 디스크의 파일 시스템 구조를 확인합니다. 보통 몇 초에서 1분 정도 걸립니다
正在核对校验值、开发者签名与 Apple 公证…	체크섬, 개발자 서명, Apple 공증 확인 중…
正在检查…	확인 중…
正在检查更新	업데이트 확인 중
正在检测出口与分流…	출구 및 라우팅 확인 중…
正在测 {}/{}	측정 중 {}/{}
正在测上行	업로드 측정 중
正在测下行	다운로드 측정 중
正在测延迟	지연 측정 중
正在清理…	정리 중…
正在移除…	제거 중…
正在统计…	집계 중…
正在统计各进程流量…	프로세스별 트래픽 측정 중…
正在计算可清理空间	정리 가능한 공간 계산 중
正在读取 SMART 信息；外置磁盘或不支持 NVMe SMART 的磁盘不显示	SMART 정보를 읽고 있습니다. 외장 디스크와 NVMe SMART 미지원 디스크는 표시하지 않습니다
正在读取…	읽는 중…
正在读取传感器…	센서 읽는 중…
正在读取进程…	프로세스 읽는 중…
正在读取风扇…	팬 읽는 중…
正在释放…	확보 중…
正常	정상
此刻各核心的占用；超过 60% 变橙色、85% 变红色	코어별 현재 사용률입니다. 60% 초과는 주황색, 85% 초과는 빨간색입니다
此设备没有可调节的风扇	이 Mac에는 조절 가능한 팬이 없습니다
每个应用占整机 CPU 的比例：{} 个核心全部跑满为 100%，与顶部的总占用是同一把尺子。鼠标悬停在数值上可以看按单核计的占用（活动监视器的算法）	앱별 전체 CPU 비율입니다. 코어 {}개가 모두 최대 사용 중일 때 100%로 상단 합계와 같은 기준입니다. 값 위에 포인터를 올리면 코어별 사용률(활성 상태 보기 방식)을 볼 수 있습니다
每个指标一个图标，点击弹出该项详情	지표마다 아이콘을 표시하며 클릭하면 상세 정보가 열립니다
每分钟把主要指标的平均值与峰值写入本机数据库，保留 7 天，不上传	주요 지표의 평균과 최고치를 매분 로컬 데이터베이스에 기록합니다. 7일간 보관하며 업로드하지 않습니다.
每核 {}	코어당 {}
每根柱子一个核心，按核心类型着色	코어당 막대 하나를 표시하고 코어 유형별로 색상 구분
每点 {}	점당 {}
每秒让 CPU 从空闲中唤醒的次数，越高越耗电	CPU가 초당 유휴 상태에서 깨어나는 횟수입니다. 높을수록 전력 소비가 큽니다
每秒读写磁盘的字节数	초당 디스크 읽기 및 쓰기 바이트 수
每行一个核心（共 {} 个），每列一次采样，颜色越深越忙；右侧粗条是此刻的占用	각 행은 코어(총 {}개), 각 열은 측정 시점입니다. 색이 진할수록 바쁘며 오른쪽 굵은 막대는 현재 사용률입니다
每项独立	개별 표시
比 30 秒前低 {}%	30초 전보다 {}% 낮음
比 30 秒前高 {}%	30초 전보다 {}% 높음
永久删除废纸篓中的内容，无法恢复	휴지통의 항목을 영구 삭제합니다. 복원할 수 없습니다
沙盒容器	샌드박스 컨테이너
没有匹配的语言	일치하는 언어 없음
没有匹配的进程	일치하는 프로세스 없음
没有启动项	시작 항목 없음
没有已连接的蓝牙设备	연결된 Bluetooth 기기 없음
没有检测到 VPN 或系统代理，所有流量都从本机网络直接出去。	VPN 또는 시스템 프록시가 감지되지 않았습니다. 모든 트래픽이 현재 네트워크에서 직접 나갑니다.
没有检测到显示器	디스플레이가 감지되지 않았습니다
没有电池	배터리 없음
没有移动任何文件{}	이동한 파일이 없습니다{}
没有超过 50 MB 的文件	50 MB를 넘는 파일 없음
流量历史	트래픽 기록
流量经过 {}，系统 DNS 可能由它接管，修改后不一定生效。	트래픽이 {}을(를) 통하며 시스템 DNS도 관리할 수 있어 변경이 적용되지 않을 수 있습니다.
浅色	라이트
浅色菜单栏预览	라이트 메뉴 막대 미리보기
测延迟	지연 측정
测本机宽带、国内分省三网延迟与全球节点	회선 속도, 중국 지역별 3대 통신사 지연, 전 세계 노드 측정
测试的网站都经 {} 的{}，没有暴露本机网络的地址。	측정한 모든 사이트가 {}의 {}을(를) 통해 네트워크의 원래 주소가 노출되지 않습니다.
测速	속도 측정
浏览器	브라우저
淘宝	Taobao
深色	다크
深色菜单栏预览	다크 메뉴 막대 미리보기
清理	정리
清理中…	정리 중…
清理可回收的缓存内存（需要管理员授权或辅助工具）	회수 가능한 캐시 메모리 확보(관리자 승인 또는 도우미 필요)
清理所选 {}	선택한 {} 정리
清空废纸篓	휴지통 비우기
清除	지우기
清除…	지우기…
清除全部历史记录？	모든 기록을 지우시겠습니까?
清除历史	기록 지우기
清除快捷键	단축키 지우기
清除搜索	검색 지우기
温度	온도
温度与风扇	온도 및 팬
温度传感器	온도 센서
温度单位	온도 단위
满载	최대 부하
滥用记录	악용 신고
点击拷贝	클릭하여 복사
版本	버전
版本 {}	버전 {}
版本 {}{}	버전 {}{}
版本是 {}，清单写的是 {}	버전은 {}이지만 목록에는 {}(으)로 표시되어 있습니다
版本清单格式不正确	버전 목록 형식이 올바르지 않습니다
物理地址	하드웨어 주소
状态	상태
状态圆点	상태 점
状态总览	상태 개요
状态正常	정상
状态良好	양호
现在	현재
现在没有本地快照	현재 로컬 스냅샷 없음
用 Apple 智能解释	Apple Intelligence로 설명
用户	사용자
用户 {}	사용자 {}
用户名	사용자 이름
用户资源库	사용자 라이브러리
用系统图标代替文字标签	텍스트 이름표 대신 시스템 아이콘 사용
由 Apple 智能在这台 Mac 上生成，不联网；内容可能不准确，结束进程前请自行确认。	Apple Intelligence가 이 Mac에서 오프라인으로 생성합니다. 부정확할 수 있으니 프로세스를 종료하기 전에 확인하세요.
由 SMC 与系统能耗统计读取；新款芯片不提供可靠的 CPU 单独功耗	SMC 및 시스템 에너지 통계에서 읽습니다. 최신 칩은 신뢰할 만한 CPU 단독 소비 전력을 제공하지 않습니다
由 macOS 调节	macOS에서 관리
由辅助工具执行	도우미에서 실행
电池	배터리
电池 {}	배터리 {}
电池供电	배터리 사용 중
电池健康	배터리 성능 상태
电池健康度下降	배터리 성능 저하
电池充电	배터리 충전 중
电池放电	배터리 방전 중
电池最大容量为 {}，续航会明显缩短。可以在“系统设置 › 电池”查看是否建议维修。	배터리 최대 용량이 {}이므로 사용 시간이 크게 줄어듭니다. 시스템 설정 › 배터리에서 서비스 권장 사항을 확인하세요.
电池最大容量低于 80%，每 30 天最多提醒一次	배터리 최대 용량이 80% 미만일 때 30일에 최대 한 번 알림
电池温度	배터리 온도
电池电量	배터리 잔량
电池设置	배터리 설정
电源	전원
电源供电	전원 어댑터 사용 중
电源输入	어댑터 입력
电源适配器{}	전원 어댑터{}
电量	배터리 잔량
电量下限	최소 잔량
电量与充电状态；没有电池的 Mac 显示蓝牙设备电量	잔량 및 충전 상태입니다. 배터리가 없는 Mac에서는 Bluetooth 기기 잔량 표시
电量低于 {}%，已关闭合盖运行	배터리가 {}% 미만이라 덮개 모드를 껐습니다
电量历史	충전 기록
电量条	잔량 막대
登录以同步设置	로그인하여 설정 동기화
登录启动项	로그인 시작 항목
登录回调不正确	로그인 콜백이 올바르지 않습니다
登录已失效，请重新登录	세션이 만료되었습니다. 다시 로그인하세요
登录时启动	로그인 시 실행
登录时运行	로그인 시 실행됨
登录项设置	로그인 항목 설정
百度	Baidu
监控	모니터링
目标转速	목표 속도
直连	직접 연결
相当于“磁盘工具”里的急救，但只检查不修改：核对启动盘的目录结构、文件分配与快照元数据是否一致。	디스크 유틸리티의 검사/복구와 비슷하지만 변경 없이 시동 디스크의 디렉터리 구조, 파일 할당, 스냅샷 메타데이터 일관성만 확인합니다.
省份	성
确认清理	정리 확인
确认通知能正常显示	알림이 정상 표시되는지 확인
磁盘	디스크
磁盘已用 {}	디스크 사용량 {}
磁盘报告了严重警告，建议尽快备份	디스크에서 심각한 경고가 보고되었습니다. 빨리 백업하세요
磁盘清理	디스크 정리
磁盘空间不足	디스크 공간 부족
磁盘空间偏紧	디스크 여유 공간 적음
社交	소셜
移到废纸篓	휴지통으로 이동
移到废纸篓？	휴지통으로 이동하시겠습니까?
移动网络	모바일 네트워크
移动网络 IP	모바일 IP
移动运营商	이동통신사
空	비어 있음
空格	스페이스
空闲	유휴
空间占用	사용 공간
窗口	윈도우
窗口状态	저장된 윈도우 상태
立即切换；显示器、应用名称等由系统提供的文字在下次启动时切换	즉시 적용됩니다. 디스플레이 및 앱 이름 등 macOS에서 제공하는 텍스트는 다음 실행 시 변경됩니다
立即同步	지금 동기화
竖向电量条表示当前占用比例	세로 막대로 현재 사용률 표시
等待批准	승인 대기 중
等待选择	선택 대기 중
签名团队	서명 팀
签名方：{}	서명자: {}
签名校验未通过：{}	서명 확인 실패: {}
粘贴	붙여넣기
系统	시스템
系统代理	시스템 프록시
系统或其他用户的进程，XStats 不提供结束	시스템 또는 다른 사용자의 프로세스이므로 XStats에서 종료할 수 없습니다
系统服务	시스템 서비스
系统正在把内存写到磁盘，可能会变慢。可以关掉占用大的应用。	시스템이 메모리를 디스크로 옮기고 있어 느려질 수 있습니다. 메모리를 많이 사용하는 앱을 종료하세요.
系统版号	시스템 빌드
系统电池设置…	시스템 배터리 설정…
系统级资源库（第三方驱动、辅助工具或后台服务）	시스템 라이브러리(타사 드라이버, 도우미, 백그라운드 서비스)
系统维护	시스템 유지 관리
系统自动	시스템 자동
系统自带的应用不能卸载	기본 제공 앱은 제거할 수 없습니다
系统调节	시스템 제어
累计写入	누적 쓰기
累计读取	누적 읽기
繁忙	바쁨
纯净度 {} 分	신뢰도 점수 {}
纯净度看信誉、来路、邻居与网络类型四项；机房 IP 常见信誉高、来路和类型偏低。数据来自 cleanip.io	신뢰도는 평판, 출처, 인접 IP, 네트워크 유형을 평가합니다. 데이터 센터 IP는 평판이 높아도 출처와 유형 점수가 낮을 수 있습니다. 출처: cleanip.io
线程	스레드
线程 {}	스레드 {}
线程数（只能读取自己的进程）	스레드 수(자신의 프로세스만)
经 Cloudflare {} 边缘节点	Cloudflare {} 지점 경유
经 {}	{} 경유
经 {} 直接连接	{} 경유 직접 연결
经代理	프록시 경유
结束 {} 失败：{}	{} 종료 실패: {}
结束“{}”？	“{}”을(를) 종료하시겠습니까?
结束它会注销当前用户，已禁止	종료하면 로그아웃되므로 차단되었습니다
结束进程…	프로세스 종료…
统一内存（CPU 与 GPU 共享）	통합 메모리(CPU 및 GPU 공유)
统计家目录里每个文件夹占多少空间，并找出最大的文件；只读取大小，不改动任何文件。文件多时需要几十秒。	홈 폴더의 각 폴더 사용 공간을 측정하고 가장 큰 파일을 찾습니다. 크기만 읽고 파일을 변경하지 않습니다. 파일이 많으면 1분 정도 걸릴 수 있습니다.
继续运行	계속 실행
