# Copyright (C) 2026 ysicing
# SPDX-License-Identifier: AGPL-3.0-or-later
唤醒	عمليات الإيقاظ
团队 {}	الفريق {}
国内	الصين
国内分省三网延迟	زمن الاستجابة في الصين
国内网站也绕到了{}，访问会变慢，也可能触发风控。	تمر المواقع الصينية أيضًا عبر {}، ما يبطئ الوصول وقد يفعّل فحوص الأمان.
国内网站直连，国际网站经 {} 的{}。	تتصل المواقع الصينية مباشرة؛ وتمر المواقع الدولية عبر {} باستخدام {}.
国内网站走了代理，访问会绕路变慢。	تمر المواقع الصينية عبر الوكيل، ما يجعل المسار أطول وأبطأ.
国内网络建议选阿里云或腾讯；选路由器只检测本地连接	في البر الرئيسي الصيني يُفضّل Alibaba Cloud أو Tencent؛ يفحص الموجّه الارتباط المحلي فقط
图形	الرسومات
图形处理器	GPU
图形核心	نوى GPU
图标	أيقونة
圆环	حلقة
圆环表示当前占用比例	تعرض الحلقة الاستخدام الحالي
在 cleanip.io 查看这个 IP 的完整报告	فتح التقرير الكامل لعنوان IP هذا في cleanip.io
在主窗口打开“{}”	فتح «{}» في النافذة الرئيسية
在程序坞显示图标	عرض الرمز في Dock
在线升级	تحديثات عبر الإنترنت
在线升级：发现新版本时显示更新摘要，一键安装并自动重启	تحديثات عبر الإنترنت: اعرض المستجدات وثبّت بنقرة واحدة وأعد تشغيل التطبيق تلقائيًا
在菜单栏显示	عرض في شريط القوائم
在菜单栏显示{}	عرض {} في شريط القوائم
在访达中显示	إظهار في Finder
型号	الطراز
域名，例如 example.com	نطاق، مثل example.com
处理器	المعالج
处理器核心	نوى CPU
备用空间	المساحة الاحتياطية المتاحة
备用空间低于阈值，建议备份	السعة الاحتياطية دون الحد؛ انسخ بياناتك احتياطيًا
外置硬盘、U 盘、镜像与网络共享	أقراص خارجية ووحدات USB وصور أقراص ومشاركات شبكة
外观	المظهر
存储	التخزين
它只做这几件事	ينفّذ هذه المهام فقط
安全温度	حرارة الأمان
安装	تثبيت
安装包	حزم التثبيت
安装包不支持这台 Mac 的芯片	لا يدعم هذا التحديث شريحة هذا الـ Mac
安装包内容不正确：{}	حزمة التحديث غير صالحة: {}
安装包校验值与版本清单不一致，已放弃安装	لا يطابق المجموع الاختباري بيان الإصدار؛ أُوقف التثبيت
安装失败：{}	فشل التثبيت: {}
安装辅助工具	تثبيت الأداة المساعدة
安静	هادئ
定时 ping 一个地址，记录网络是否通畅	يرسل ping إلى عنوان بانتظام لتسجيل إمكانية الوصول إلى الشبكة
定时探测网络	فحص الاتصال
实测	مقاس
家目录	المجلد الرئيسي
容量	السعة
密码仅保存在这台 Mac 的钥匙串中	تُحفظ كلمة السر في سلسلة مفاتيح هذا الـ Mac فقط
密码或应用专用密码	كلمة السر أو كلمة سر التطبيق
导出…	تصدير…
导出失败：{}	فشل التصدير: {}
导出时间	وقت التصدير
导出诊断信息	تصدير التشخيص
寿命偏低，注意备份	العمر المتبقي منخفض؛ احتفظ بنسخ احتياطية
寿命按厂商估算的已用比例计算；写入量越大消耗越快，日常使用通常可用很多年	يعتمد العمر على تقدير الشركة المصنّعة للاستهلاك. تزيد الكتابة الكثيفة التآكل؛ وعادةً يدوم الاستخدام المعتاد سنوات عديدة.
将应用 {} 保存的设置，覆盖本机对应偏好。	تطبيق الإعدادات المحفوظة في {} واستبدال التفضيلات المحلية المقابلة.
将清理 {} 个项目，共 {}。{}	سيُنظّف {} عناصر بإجمالي {}. {}
将移到废纸篓	سيُنقل إلى سلة المهملات
小标签在上、数值在下，最紧凑	تسمية صغيرة أعلى القيمة؛ الأكثر اختصارًا
尚未检查	لم يُفحص بعد
屏幕保持常亮	إبقاء الشاشة مضاءة
屏幕可按设置关闭，下载、编译等后台任务继续运行	يمكن إطفاء الشاشة كالمعتاد مع استمرار التنزيلات والبناء في الخلفية
屏幕和系统都不会因闲置而关闭或休眠	لا تنطفئ الشاشة ولا يدخل النظام في الإسبات عند الخمول
展开{}	توسيع {}
峰值	الذروة
峰值 {}	الذروة {}
工具	الأدوات
左侧风扇	المروحة اليسرى
左耳	اليسرى
已{}“{}”	{} «{}»
已使用 Developer ID 签名	موقّع باستخدام Developer ID
已停用	معطّل
已充满	مشحونة
已删除 {} 个快照，腾出的空间稍后会反映在“可清除”里	حُذفت {} لقطات؛ ستظهر المساحة المحررة قريبًا ضمن القابل للإزالة
已到设定时间，防休眠已关闭	انتهى الوقت؛ أُوقف منع الإسبات
已加载	محمّل
已取消	أُلغي
已取消登录	أُلغي تسجيل الدخول
已启用	مفعّل
已导出 {}	تم تصدير {}
已将 {} 与 {} 项残留移到废纸篓，约 {}{}{}。需要时可以在废纸篓里放回。	نُقل {} و{} من البقايا إلى سلة المهملات، نحو {}{}{}. يمكنك استعادتها من هناك.
已应用远端设置	طُبقت الإعدادات البعيدة
已开启同步	المزامنة مفعّلة
已恢复自动获取 DNS	استُعيد DNS التلقائي
已扫描 {} 个条目 · {}	فُحص {} عناصر · {}
已把“{}”移到废纸篓	نُقل «{}» إلى سلة المهملات
已拷贝	تم النسخ
已推出“{}”	أُخرج «{}»
已是最新版本	الإصدار محدّث
已用	مستخدم
已用 {} · {}	{} مستخدمة · {}
已用内存占比	الذاكرة المستخدمة
已记录的数据会从本机删除，无法恢复。	ستُحذف البيانات المسجلة من هذا الـ Mac ولا يمكن استعادتها.
已运行	مدة التشغيل
已运行 	يعمل منذ 
已连接	متصل
已连接的键盘、鼠标、耳机等电量低于 15%，每 10 分钟检查一次	بطارية لوحة مفاتيح أو ماوس أو سماعات متصلة دون 15%؛ تُفحص كل 10 دقائق
已选 {} 项 · {}	تم تحديد {} · {}
已释放	تم تحريره
已释放 {} 缓存内存	حُرر {} من الذاكرة المؤقتة
布局	التخطيط
干净	نظيف
平均	المتوسط
平均 {} · 峰值 {}{}	المتوسط {} · الذروة {}{}
平均 {} · 最高 {}	المتوسط {} · الأقصى {}
平均温度	متوسط الحرارة
平均负载除以核心数：小于 1 表示任务不用排队，大于 1 表示有任务在等 CPU	متوسط الحمل لكل نواة: أقل من 1 يعني عدم الانتظار؛ وأكثر من 1 يعني وجود مهام تنتظر CPU
广播 IP	IP بث
序列号	الرقم التسلسلي
应用	التطبيقات
应用 UI 语言	لغة واجهة التطبيق
应用 {} / 辅助工具 {}	التطبيق {} / المساعد {}
应用与勾选的 {} 项残留会移到废纸篓，约 {}。清空废纸篓前都可以放回。	سيُنقل التطبيق و{} بقايا محددة إلى سلة المهملات، نحو {}. يمكنك استعادتها قبل إفراغ السلة.
应用包内未找到辅助工具，请使用完整构建的 XStats.app	لم يُعثر على المساعد في حزمة التطبيق. استخدم نسخة كاملة من XStats.app.
应用并覆盖	تطبيق واستبدال
应用拒绝退出，可以试试强制退出	رفض التطبيق الإنهاء. جرّب فرض الإنهاء.
应用数据	بيانات التطبيقات
应用日志与崩溃报告	سجلات التطبيقات وتقارير الأعطال
应用本体	التطبيق
应用正在运行，请先退出	التطبيق قيد التشغيل. أنهِه أولًا.
应用程序文件夹	مجلد التطبيقات
应用缓存	ذاكرات التطبيقات المؤقتة
应用远端设置？	تطبيق الإعدادات البعيدة؟
应用退出或断开连接时，自动恢复风扇与睡眠设置	يعيد إعدادات المراوح والإسبات عند إنهاء التطبيق أو انقطاع اتصاله
废纸篓	سلة المهملات
延迟	زمن الاستجابة
开	مفعّل
开关防休眠	تبديل منع الإسبات
开发	التطوير
开发构建不支持在线升级	لا تدعم نسخ التطوير التحديث عبر الإنترنت
开发构建不支持在线升级，请下载安装包	لا تدعم نسخ التطوير التحديث عبر الإنترنت؛ نزّل حزمة التثبيت
开发版	نسخة تطوير
开发者	المطوّر
开启	مفعّل
开启 / 关闭“合盖不睡眠”（等同 pmset disablesleep）	تفعيل أو تعطيل منع الإسبات مع الغطاء المغلق (يعادل pmset disablesleep)
开启后图标出现在菜单栏；按住 ⌘ 键拖动图标可以调整位置	يضيف الرمز إلى شريط القوائم؛ اضغط ⌘ واسحبه لتغيير موقعه
开始分析	تحليل
开始探测	بدء الفحص
开机以来	منذ الإقلاع
开机后上传	المرفوع منذ الإقلاع
开机后下载	المنزّل منذ الإقلاع
开机后自动在菜单栏显示 XStats	عرض XStats في شريط القوائم بعد تسجيل الدخول
异常断电	إيقاف تشغيل غير آمن
弹窗显示	أقسام النافذة المنبثقة
强冷	أقصى تبريد
强制刷新：忽略缓存，立即重新查询公网 IP 与归属地	فرض التحديث: تجاهل الذاكرة المؤقتة واستعلم الآن عن IP العام وموقعه مجددًا
强制退出	فرض الإنهاء
归属地	الموقع
归属地数据来自	مصدر بيانات الموقع
当前 {} · 发布于 {} · {} · {}	الحالي {} · نُشر {} · {} · {}
当前为临时签名的开发构建，辅助工具只能校验应用标识。使用 Developer ID 证书构建后会自动启用团队校验。	هذه نسخة تطوير بتوقيع مخصص؛ يستطيع المساعد التحقق من معرّف الحزمة فقط. يُفعّل التحقق من الفريق تلقائيًا عند البناء باستخدام Developer ID.
当前效果（实时数据）	معاينة (بيانات حية)
当前版本	الإصدار الحالي
当前版本 {}	الإصدار الحالي {}
当前版本 {} · {} · {}	الإصدار الحالي {} · {} · {}
当前用户	المستخدم الحالي
录制快捷键	تسجيل اختصار
影音	الفيديو
循环 {} 次	{} دورات
循环次数	عدد الدورات
微信	WeChat
忙	مشغول
快捷开关	مفاتيح سريعة
快照名称格式不认识，没有删除	أسماء اللقطات غير معروفة؛ لم يُحذف شيء
性能核	الأداء
总占用	الإجمالي
总览	نظرة عامة
恢复系统睡眠失败：{}	فشلت استعادة إسبات النظام: {}
我的	الخاصة بي
截图已输出到 {}	حُفظت اللقطات في {}
所属应用：{}（{}）	التطبيق: {} ({})
所有内容先移到废纸篓。	يُنقل كل شيء إلى سلة المهملات أولًا.
所有指标合成一个图标，点击弹出状态总览，可切到各项详情	كل المؤشرات في رمز واحد؛ انقر لعرض نظرة عامة والتبديل إلى تفاصيل كل مؤشر
所有检测目标都连不上。请检查网络连接，或者代理软件是否正常运行。	تعذّر الوصول إلى جميع أهداف الاختبار. تحقق من اتصال الشبكة وعمل تطبيق الوكيل.
所有用户	كل المستخدمين
所有用户与系统级的启动项需要管理员权限，请在系统设置的登录项中管理	تتطلب عناصر النظام وكل المستخدمين صلاحيات مسؤول؛ أدِرها في عناصر الدخول بإعدادات النظام
所有磁盘合计	كل الأقراص
手动	يدوي
手动下载	تنزيل يدويًا
打包版本、系统与辅助工具状态、主要设置、最近 3 天的运行日志和崩溃报告，反馈问题时附上；会去掉序列号、IP 与硬件地址	يجمع الإصدار وحالة النظام والمساعد والإعدادات الرئيسية وسجلات وتقارير أعطال آخر 3 أيام لإرفاقها ببلاغ مشكلة. تُزال الأرقام التسلسلية وعناوين IP والأجهزة.
打包生成的 .xcarchive，删除后无法重新符号化旧版本崩溃日志	حزم .xcarchive؛ لا يمكن استعادة الرموز لسجلات أعطال الإصدارات القديمة بعد حذفها
打开 SMC 失败 ({})	فشل فتح SMC ({})
打开 XStats	فتح XStats
打开 XStats 主窗口	فتح نافذة XStats
打开登录项设置	فتح إعدادات عناصر الدخول
打开网络详情时向 Cloudflare（1.1.1.1）或 ipify 查询一次公网地址，10 分钟内不重复请求；归属地、ASN、网络类型与纯净度由这台 Mac 直接向 cleanip.io 查询，只发送公网地址	عند فتح تفاصيل الشبكة يُستعلم عن عنوانك العام من Cloudflare (1.1.1.1) أو ipify مرة كل 10 دقائق كحد أقصى؛ يستعلم هذا الـ Mac مباشرة من cleanip.io عن الموقع وASN ونوع الشبكة والنقاء، ولا يرسل سوى العنوان العام
打开进程页	عرض العمليات
打开通知设置	فتح إعدادات الإشعارات
托管	استضافة
执行中	قيد التنفيذ
扫描中	جارٍ الفحص
扫描中…	جارٍ الفحص…
扫描于 	فُحص في 
抖动	تذبذب الاستجابة
抖音	Douyin
折线历史	سجل خطي
折线是最近 30 次采样（约 1 分钟）的走势	يعرض الخط آخر 30 عينة (نحو دقيقة)
拷贝	نسخ
拷贝 PID	نسخ PID
拷贝 PID {}	نسخ PID {}
持续时间	المدة
按下快捷键…	اضغط الاختصار…
按单核满载为 100% 计：{}	لكل نواة (100% = نواة بكامل طاقتها): {}
按应用	حسب التطبيق
按应用汇总	حسب التطبيق
按文件夹	حسب المجلد
按系统代理访问国际网站	المواقع الدولية عبر وكيل النظام
按系统休眠	إسبات النظام
按规则分流	توجيه وفق القواعد
按进程	حسب العملية
换一台 Mac 登录后，菜单栏、外观、通知与快捷键等偏好会自动恢复。不登录也能使用全部功能。	سجّل الدخول على Mac آخر لاستعادة تفضيلات شريط القوائم والمظهر والإشعارات والاختصارات تلقائيًا. تعمل جميع الميزات دون تسجيل الدخول.
换入 / 换出	تبديل إدخال / إخراج
掌托	مسند راحة اليد
排队程度	طابور التنفيذ
探测目标	هدف الفحص
探针一直没有返回结果，稍后再试	لم تُعد المجسّات نتائج؛ حاول لاحقًا
探针数量，一个探针占一次额度	عدد المجسّات؛ يستهلك كل مجس اختبارًا من الحصة
接入 Cloudflare 的网站能实测出口，其余按国内 / 国际规则推断	تُقاس منافذ الخروج لمواقع Cloudflare وتُستنتج للبقية حسب قواعد المواقع المحلية والدولية
接口	الواجهة
接通电源	متصل بالطاقة
推出	إخراج
推出中…	جارٍ الإخراج…
推断	مستنتج
搜索名称、PID 或用户	البحث بالاسم أو PID أو المستخدم
搜索应用	البحث عن تطبيقات
搜索语言	البحث عن لغات
撤销	تراجع
收起	طي
改回开机后累计	العودة إلى الإجمالي منذ الإقلاع
政府	حكومي
教育网	تعليم
散热模式	التبريد
数据	البيانات
数据来源	المصدر
整体风格	النمط العام
整体风格套用到所有项目。想让某个项目不一样，在下面“显示项目”里给它单独选一种，比如 CPU 用圆环、风扇用数字。	ينطبق النمط العام على كل العناصر. لتخصيص عنصر، اختر نمطه ضمن «العناصر» أدناه؛ مثل حلقة لـ CPU وأرقام للمروحة.
整机	النظام
整机 {}	النظام {}
整机功耗	استهلاك طاقة النظام
文件系统检查	فحص نظام الملفات
文件系统结构完好，没有发现错误	بنية نظام الملفات سليمة؛ لم توجد أخطاء
新版本未通过 Apple 公证检查，已放弃安装	فشل الإصدار الجديد في فحص توثيق Apple؛ أُوقف التثبيت
新版本需要 macOS {} 或更高版本	يتطلب الإصدار الجديد macOS {} أو أحدث
无	لا شيء
无 Bundle ID	لا يوجد معرّف حزمة
无法创建电源断言（{}）	تعذّر إنشاء تأكيد الطاقة ({})
无法创建签名要求	تعذّر إنشاء متطلب التوقيع
无法打开	تعذّر الفتح
无法打开登录窗口	تعذّر فتح نافذة تسجيل الدخول
无法推出“{}”：{}	تعذّر إخراج «{1}»: {2}
无法确认是否经过代理	تعذّر تأكيد استخدام الوكيل
无法移到废纸篓：{}	تعذّر النقل إلى سلة المهملات: {}
无法读取	تعذّرت القراءة
无法读取签名	تعذّرت قراءة التوقيع
无法连接 WebDAV，请检查网络、地址和 HTTPS 证书	تعذّر الاتصال بـ WebDAV. تحقق من الشبكة والعنوان وشهادة HTTPS
无法连接辅助工具	تعذّر الاتصال بالمساعد
无法连接辅助工具：{}	تعذّر الاتصال بالمساعد: {}
无需清理	لا شيء لتنظيفه
日志与崩溃报告	السجلات وتقارير الأعطال
显卡信息	معلومات GPU
显示 / 隐藏主窗口	إظهار / إخفاء النافذة الرئيسية
显示 {} 项	عرض {}
显示为 {}×{}	يظهر بدقة {}×{}
显示名称：{}	الاسم المعروض: {}
显示器	الشاشات
显示序列号	عرض الرقم التسلسلي
显示项目	العناصر
暂时没有拿到评分，稍后会再试	لا يوجد تقييم بعد؛ ستُعاد المحاولة لاحقًا
更新内容	المستجدات
更省电，负责后台和轻量任务	أكثر كفاءة؛ تعالج المهام الخفيفة والخلفية
替换后未找到应用	لم يُعثر على التطبيق بعد الاستبدال
替换应用失败：{}	فشل استبدال التطبيق: {}
最低 {} · 最高 {} · 目标 {} RPM	الأدنى {} · الأقصى {} · الهدف {} RPM
最大的文件	أكبر الملفات
最小化	تصغير
最强	الأقوى
最忙的核心	أكثر النوى انشغالًا
最快，重活优先交给它们	الأسرع؛ تُسند إليها المهام الثقيلة أولًا
最近 24 小时	آخر 24 ساعة
最近 60 秒	آخر 60 ثانية
最近没有应用在读写磁盘	لا توجد تطبيقات تقرأ القرص أو تكتب إليه حاليًا
最近的内存压力走势	ضغط الذاكرة مؤخرًا
最近错误	آخر خطأ
最高	الأقصى
最高 / 平均	الأقصى / المتوسط
最高温度	أعلى حرارة
服务器在 getopenstats.com，不上传任何监控数据；随时可以删除。	الخادم في getopenstats.com؛ لا تُرفع بيانات مراقبة ويمكنك حذف كل شيء متى شئت.
服务器返回 {}	أعاد الخادم {}
服务器返回的数据格式不正确	أعاد الخادم بيانات بتنسيق غير صحيح
未使用	غير مستخدم
未使用代理	لا يُستخدم وكيل
未保存的内容可能会丢失。强制退出会立即结束，不给应用保存的机会。	قد يُفقد العمل غير المحفوظ. ينهي فرض الإنهاء العملية فورًا دون إتاحة الحفظ.
未发现	لم يُعثر على شيء
未安装	غير مثبت
未完成的下载	تنزيلات غير مكتملة
未开启，Mac 按系统设置休眠	متوقف؛ يدخل Mac في الإسبات كالمعتاد
未找到 AppleSMC 服务	لم يُعثر على خدمة AppleSMC
未检出	لم يُكتشف شيء
未检测到可调节的风扇	لم يُعثر على مراوح قابلة للضبط
未检测到风扇	لم تُكتشف مراوح
未知状态	حالة مجهولة
未签名或临时签名	بلا توقيع أو بتوقيع مخصص
未签名（开发构建）	غير موقّع (نسخة تطوير)
未设置	غير معيّن
未连接	غير متصل
未连接网络	لا توجد شبكة
本地 IPv4	IPv4 محلي
本地 IPv6	IPv6 محلي
本地快照	لقطات محلية
本机 IP 这一小时还剩 {}/{} 次探针额度	تبقى {}/{} اختبارات مجس لهذه الساعة لعنوان IP هذا الـ Mac
本机信息	هذا الـ Mac
本机宽带	اتصالك
本机网络	شبكتك
本机设置已上传	رُفعت الإعدادات المحلية
本次用掉 {}	استُخدم {}
机型	الطراز
机型标识符	معرّف الطراز
机房	مركز بيانات
机房 IP	IP مركز بيانات
极好	ممتاز
极高风险	خطورة عالية جدًا
构建	البناء
查看	عرض
查看{}详情	عرض تفاصيل {}
查看全部进程	كل العمليات
查看包含的项目	عرض العناصر
查看完整更新日志	سجل التغييرات الكامل
查看清理日志	عرض سجل التنظيف
查询中…	جارٍ الاستعلام…
查询公网 IP	استعلام IP العام
查询已关闭	الاستعلام متوقف
柱状历史	سجل بالأعمدة
标签与数值同一行，最易读	التسمية والقيمة في سطر واحد؛ الأسهل قراءة
标识	المعرّف
核心	النوى
核心 {}	النواة {}
核心 {}（{}）· {}	النواة {} ({}) · {}
核心分工	أنواع النوى
核心数	عدد النوى
核心最高温度；余量是离 100°C 还差多少度，越接近 0 越可能因过热降频	أعلى حرارة للنوى؛ الهامش هو عدد الدرجات المتبقية حتى 100°C. كلما اقترب من 0 زاد احتمال خفض التردد بسبب الحرارة
核心热力图	خريطة حمل النوى
核心负载	حمل النوى
检查	فحص
检查 VPN 与代理是否生效、各网站从哪个出口出去	تحقق من عمل VPN والوكيل ومنفذ الخروج المستخدم لكل موقع
检查中…	جارٍ الفحص…
检查完成，但没有得到明确结论	اكتمل الفحص دون نتيجة حاسمة
检查更新	البحث عن تحديثات
检查更新…	البحث عن تحديثات…
检查更新失败	فشل البحث عن تحديثات
检查未能完成（退出码 {}）	لم يكتمل الفحص (رمز الخروج {})
检测中 {}/{}	جارٍ الفحص {}/{}
检测到 {}，但测试的网站都在直连，没有经过代理出口。	اكتُشف {}، لكن جميع المواقع المختبرة تتصل مباشرة دون المرور عبر منفذ خروج الوكيل.
模式	الوضع
模拟器	المحاكيات
模拟器缓存	ذاكرات المحاكي المؤقتة
正在上传设置…	جارٍ رفع الإعدادات…
正在下载	جارٍ التنزيل
正在下载设置…	جارٍ تنزيل الإعدادات…
正在使用	قيد الاستخدام
正在修改 DNS…	جارٍ تغيير DNS…
正在同步	جارٍ المزامنة
正在同步…	جارٍ المزامنة…
正在安装，完成后 XStats 会自动重启。	جارٍ التثبيت. سيُعاد تشغيل XStats عند الانتهاء.
正在导出…	جارٍ التصدير…
正在导出诊断信息…	جارٍ تصدير التشخيص…
正在扫描应用…	جارٍ فحص التطبيقات…
正在收集走势…	جارٍ جمع بيانات الاتجاه…
正在本机生成…	جارٍ الإنشاء على هذا الـ Mac…
正在查找残留…	جارٍ البحث عن البقايا…
正在查询…	جارٍ الاستعلام…
正在核对启动盘的文件系统结构，通常几秒到几十秒	جارٍ التحقق من بنية نظام ملفات قرص بدء التشغيل؛ يستغرق عادةً من ثوانٍ إلى دقيقة
正在核对校验值、开发者签名与 Apple 公证…	جارٍ التحقق من المجموع الاختباري وتوقيع المطوّر وتوثيق Apple…
正在检查…	جارٍ الفحص…
正在检查更新	جارٍ البحث عن تحديثات
正在检测出口与分流…	جارٍ فحص الخروج والتوجيه…
正在测 {}/{}	جارٍ اختبار {}/{}
正在测上行	جارٍ قياس الرفع
正在测下行	جارٍ قياس التنزيل
正在测延迟	جارٍ قياس زمن الاستجابة
正在清理…	جارٍ التنظيف…
正在移除…	جارٍ الإزالة…
正在统计…	جارٍ الإحصاء…
正在统计各进程流量…	جارٍ قياس مرور كل عملية…
正在计算可清理空间	جارٍ حساب المساحة القابلة للتنظيف
正在读取 SMART 信息；外置磁盘或不支持 NVMe SMART 的磁盘不显示	جارٍ قراءة SMART؛ لا تُعرض الأقراص الخارجية أو التي لا تدعم NVMe SMART
正在读取…	جارٍ التحميل…
正在读取传感器…	جارٍ قراءة المستشعرات…
正在读取进程…	جارٍ قراءة العمليات…
正在读取风扇…	جارٍ قراءة المراوح…
正在释放…	جارٍ التحرير…
正常	طبيعي
此刻各核心的占用；超过 60% 变橙色、85% 变红色	حمل كل نواة حاليًا؛ برتقالي فوق 60% وأحمر فوق 85%
此设备没有可调节的风扇	لا يحتوي هذا الـ Mac على مراوح قابلة للضبط
每个应用占整机 CPU 的比例：{} 个核心全部跑满为 100%，与顶部的总占用是同一把尺子。鼠标悬停在数值上可以看按单核计的占用（活动监视器的算法）	نسبة استخدام CPU الإجمالية لكل تطبيق: تشغيل كل النوى البالغ عددها {} بكامل طاقتها يساوي 100%، كما في الإجمالي أعلاه. مرّر المؤشر فوق القيمة لرؤية الاستخدام لكل نواة وفق حساب مراقب النشاط
每个指标一个图标，点击弹出该项详情	رمز لكل مؤشر؛ انقر لعرض تفاصيله
每分钟把主要指标的平均值与峰值写入本机数据库，保留 7 天，不上传	يحفظ متوسطات المؤشرات وذرواتها في قاعدة بيانات محلية كل دقيقة لمدة 7 أيام ولا يرفعها.
每核 {}	{} لكل نواة
每根柱子一个核心，按核心类型着色	عمود لكل نواة ملوّن حسب نوعها
每点 {}	{} لكل نقطة
每秒让 CPU 从空闲中唤醒的次数，越高越耗电	عدد مرات إيقاظ CPU من الخمول في الثانية؛ كلما زاد ارتفع استهلاك الطاقة
每秒读写磁盘的字节数	بايتات القراءة والكتابة في الثانية
每行一个核心（共 {} 个），每列一次采样，颜色越深越忙；右侧粗条是此刻的占用	صف لكل نواة (الإجمالي {}) وعمود لكل عينة؛ يشير اللون الأغمق إلى انشغال أكبر. يعرض الشريط العريض يمينًا الحمل الحالي
每项独立	منفصل
比 30 秒前低 {}%	أقل بنسبة {}% من قبل 30 ثانية
比 30 秒前高 {}%	أعلى بنسبة {}% من قبل 30 ثانية
永久删除废纸篓中的内容，无法恢复	يحذف محتويات سلة المهملات نهائيًا؛ لا يمكن التراجع
沙盒容器	الحاويات
没有匹配的语言	لا توجد لغات مطابقة
没有匹配的进程	لا توجد عمليات مطابقة
没有启动项	لا توجد عناصر بدء تشغيل
没有已连接的蓝牙设备	لا توجد أجهزة Bluetooth متصلة
没有检测到 VPN 或系统代理，所有流量都从本机网络直接出去。	لم تُكتشف VPN أو وكيل نظام. يخرج كل المرور مباشرة عبر شبكتك.
没有检测到显示器	لم تُكتشف شاشات
没有电池	لا توجد بطارية
没有移动任何文件{}	لم يُنقل أي ملف{}
没有超过 50 MB 的文件	لا توجد ملفات أكبر من 50 MB
流量历史	سجل المرور
流量经过 {}，系统 DNS 可能由它接管，修改后不一定生效。	يمر المرور عبر {} الذي قد يتولى DNS النظام، لذا قد لا تسري التغييرات.
浅色	فاتح
浅色菜单栏预览	معاينة شريط القوائم الفاتح
测延迟	زمن الاستجابة
测本机宽带、国内分省三网延迟与全球节点	اختبر اتصالك وزمن الاستجابة عبر مقاطعات الصين والعقد العالمية
测试的网站都经 {} 的{}，没有暴露本机网络的地址。	تمر كل المواقع المختبرة عبر {} باستخدام {} دون كشف عنوان شبكتك.
测速	اختبار السرعة
浏览器	المتصفحات
淘宝	Taobao
深色	داكن
深色菜单栏预览	معاينة شريط القوائم الداكن
清理	التنظيف
清理中…	جارٍ التنظيف…
清理可回收的缓存内存（需要管理员授权或辅助工具）	يحرر الذاكرة المؤقتة القابلة للاسترجاع (يتطلب موافقة مسؤول أو المساعد)
清理所选 {}	تنظيف المحدد {}
清空废纸篓	إفراغ سلة المهملات
清除	مسح
清除…	مسح…
清除全部历史记录？	مسح السجل بالكامل؟
清除历史	مسح السجل
清除快捷键	مسح الاختصار
清除搜索	مسح البحث
温度	الحرارة
温度与风扇	الحرارة والمراوح
温度传感器	مستشعرات الحرارة
温度单位	وحدة الحرارة
满载	حمل كامل
滥用记录	بلاغات إساءة الاستخدام
点击拷贝	انقر للنسخ
版本	الإصدار
版本 {}	الإصدار {}
版本 {}{}	الإصدار {}{}
版本是 {}，清单写的是 {}	الإصدار {} لكن البيان يذكر {}
版本清单格式不正确	بيان إصدار غير صالح
物理地址	عنوان الجهاز
状态	الحالة
状态圆点	نقطة الحالة
状态总览	نظرة عامة على الحالة
状态正常	سليم
状态良好	بحالة جيدة
现在	الآن
现在没有本地快照	لا توجد لقطات محلية حاليًا
用 Apple 智能解释	الشرح باستخدام Apple Intelligence
用户	المستخدم
用户 {}	المستخدم {}
用户名	اسم المستخدم
用户资源库	مكتبة المستخدم
用系统图标代替文字标签	رموز النظام بدل التسميات النصية
由 Apple 智能在这台 Mac 上生成，不联网；内容可能不准确，结束进程前请自行确认。	أنشأه Apple Intelligence على هذا الـ Mac دون إنترنت. قد يكون غير دقيق؛ تحقق قبل إنهاء أي عملية.
由 SMC 与系统能耗统计读取；新款芯片不提供可靠的 CPU 单独功耗	تُقرأ من SMC وإحصاءات طاقة النظام؛ لا توفر الشرائح الأحدث قياسًا موثوقًا لطاقة CPU وحدها
由 macOS 调节	يديره macOS
由辅助工具执行	ينفّذه المساعد
电池	البطارية
电池 {}	البطارية {}
电池供电	على البطارية
电池健康	صحة البطارية
电池健康度下降	انخفاض صحة البطارية
电池充电	البطارية تشحن
电池放电	البطارية تفرّغ
电池最大容量为 {}，续航会明显缩短。可以在“系统设置 › 电池”查看是否建议维修。	السعة القصوى للبطارية {}، لذا تقصر مدة تشغيلها بوضوح. راجع إعدادات النظام › البطارية لمعرفة توصيات الصيانة.
电池最大容量低于 80%，每 30 天最多提醒一次	انخفاض السعة القصوى دون 80%؛ تنبيه واحد كل 30 يومًا كحد أقصى
电池温度	حرارة البطارية
电池电量	مستوى البطارية
电池设置	إعدادات البطارية
电源	الطاقة
电源供电	على محول الطاقة
电源输入	دخل المحول
电源适配器{}	محول الطاقة{}
电量	شحن البطارية
电量下限	حد البطارية الأدنى
电量与充电状态；没有电池的 Mac 显示蓝牙设备电量	مستوى الشحن وحالته؛ تعرض أجهزة Mac دون بطارية شحن أجهزة Bluetooth
电量低于 {}%，已关闭合盖运行	البطارية دون {}%؛ أُوقف وضع الغطاء المغلق
电量历史	سجل الشحن
电量条	مقياس
登录以同步设置	سجّل الدخول لمزامنة الإعدادات
登录启动项	عناصر بدء الدخول
登录回调不正确	استدعاء عودة تسجيل الدخول غير صالح
