# Copyright (C) 2026 ysicing
# SPDX-License-Identifier: AGPL-3.0-or-later
暂无数据	データがありません
将应用 {} 保存的设置，覆盖本机对应偏好。	{}に保存された設定を適用し、対応するローカル設定を上書きします。
将清理 {} 个项目，共 {}。{}	{}項目、合計{}をクリーンアップします。{}
将移到废纸篓	ゴミ箱に移動します
小标签在上、数值在下，两行靠右对齐，数值的右边不会跳	小さなラベルを上、値を下に表示し、両行を右揃えにして値の右端を固定
同双行文字，但两行各自居中；标签比数值宽时（风扇、温度）不会偏到一边	2行テキストと同じですが、各行を中央揃えにするため、ラベルが値より広くても片側に寄りません
尚未检查	未確認
屏幕保持常亮	画面を常にオン
屏幕可按设置关闭，下载、编译等后台任务继续运行	画面は通常どおりオフになり、ダウンロードやビルドは続行します
屏幕和系统都不会因闲置而关闭或休眠	操作しなくても画面とシステムはスリープしません
展开{}	{}を展開
峰值	ピーク
峰值 {}	ピーク {}
工具	ツール
左侧风扇	左側ファン
左耳	左
已{}“{}”	{}済み：「{}」
已使用 Developer ID 签名	Developer IDで署名済み
已停用	無効
已充满	充電完了
已删除 {} 个快照，腾出的空间稍后会反映在“可清除”里	{}個のスナップショットを削除しました。解放された容量は後ほど「消去可能」に反映されます
已到设定时间，防休眠已关闭	設定時間が終了したため、スリープ防止をオフにしました
已加载	読み込み済み
已取消	キャンセル済み
已取消登录	サインインをキャンセルしました
已启用	有効
已导出 {}	{}を書き出しました
已将 {} 与 {} 项残留移到废纸篓，约 {}{}{}。需要时可以在废纸篓里放回。	{}と{}個の残留項目（約{}{}{}）をゴミ箱に移動しました。必要ならゴミ箱から戻せます。
已应用远端设置	リモートの設定を適用しました
已开启同步	同期はオンです
已恢复自动获取 DNS	DNSの自動取得に戻しました
已扫描 {} 个条目 · {}	{}項目をスキャン済み · {}
已把“{}”移到废纸篓	「{}」をゴミ箱に移動しました
已拷贝	コピーしました
已推出“{}”	「{}」を取り出しました
已是最新版本	最新バージョンです
已用	使用済み
已用 {} · {}	使用済み {} · {}
已用内存占比	メモリ使用率
已记录的数据会从本机删除，无法恢复。	記録されたデータはこのMacから削除され、復元できません。
已运行	稼働時間
已运行 	稼働時間 
已连接	接続済み
已连接的键盘、鼠标、耳机等电量低于 15%，每 10 分钟检查一次	接続中のキーボード、マウス、ヘッドフォンなどの残量が15%未満か10分ごとに確認
已选 {} 项 · {}	{}項目選択済み · {}
已释放	解放済み
已释放 {} 缓存内存	キャッシュメモリ{}を解放しました
布局	レイアウト
干净	クリーン
平均	平均
平均 {} · 峰值 {}{}	平均 {} · ピーク {}{}
平均 {} · 最高 {}	平均 {} · 最大 {}
平均温度	平均温度
平均负载除以核心数：小于 1 表示任务不用排队，大于 1 表示有任务在等 CPU	コア当たりの平均負荷です。1未満なら待機なし、1超ならCPU待ちのタスクがあります
广播 IP	ブロードキャストIP
序列号	シリアル番号
应用	アプリ
应用 UI 语言	アプリの表示言語
应用 {} / 辅助工具 {}	アプリ {} / ヘルパー {}
应用与勾选的 {} 项残留会移到废纸篓，约 {}。清空废纸篓前都可以放回。	アプリと選択した{}個の残留項目（約{}）をゴミ箱に移動します。ゴミ箱を空にするまでは復元できます。
应用包内未找到辅助工具，请使用完整构建的 XStats.app	アプリ内にヘルパーがありません。完全なビルドのXStats.appを使用してください
应用并覆盖	適用して上書き
应用拒绝退出，可以试试强制退出	アプリが終了を拒否しました。強制終了をお試しください
应用数据	アプリデータ
应用日志与崩溃报告	アプリのログとクラッシュレポート
应用本体	アプリ本体
应用正在运行，请先退出	アプリは実行中です。先に終了してください
应用程序文件夹	アプリケーションフォルダ
应用缓存	アプリキャッシュ
应用远端设置？	リモートの設定を適用しますか？
应用退出或断开连接时，自动恢复风扇与睡眠设置	アプリの終了時や接続解除時にファンとスリープ設定を自動で戻します
废纸篓	ゴミ箱
延迟	遅延
开	オン
开关防休眠	スリープ防止を切り替え
开发	開発
开发构建不支持在线升级	開発ビルドはオンライン更新に対応していません
开发构建不支持在线升级，请下载安装包	開発ビルドはオンライン更新に非対応です。インストーラをダウンロードしてください
开发版	開発版
开发者	開発者
开启	オン
开启 / 关闭“合盖不睡眠”（等同 pmset disablesleep）	蓋を閉じた際のスリープ防止を切り替え（pmset disablesleep相当）
开启后图标出现在菜单栏；按住 ⌘ 键拖动图标可以调整位置	アイコンをメニューバーに追加します。⌘を押しながらドラッグすると移動できます
开始分析	分析を開始
开始探测	測定を開始
开机以来	起動後
开机后上传	起動後のアップロード
开机后下载	起動後のダウンロード
开机后自动在菜单栏显示 XStats	ログイン後にXStatsをメニューバーに自動表示
异常断电	予期しない電源断
弹窗显示	ポップオーバーの表示項目
强冷	最大冷却
强制刷新：忽略缓存，立即重新查询公网 IP 与归属地	強制更新：キャッシュを無視し、公開IPと所在地を今すぐ再取得
强制退出	強制終了
归属地	所在地
归属地数据来自	所在地データの提供元
当前 {} · 发布于 {} · {} · {}	現在 {} · 公開日 {} · {} · {}
当前为临时签名的开发构建，辅助工具只能校验应用标识。使用 Developer ID 证书构建后会自动启用团队校验。	一時署名の開発ビルドのため、ヘルパーはアプリIDのみ検証できます。Developer IDでビルドするとチーム検証が自動で有効になります。
当前效果（实时数据）	プレビュー（リアルタイム）
当前版本	現在のバージョン
当前版本 {}	現在のバージョン {}
当前版本 {} · {} · {}	現在のバージョン {} · {} · {}
当前用户	現在のユーザー
录制快捷键	ショートカットを記録
影音	動画
循环 {} 次	充放電{}回
循环次数	充放電回数
微信	WeChat
忙	処理中
快捷开关	クイック切り替え
快照名称格式不认识，没有删除	スナップショット名の形式を認識できないため、削除しませんでした
性能核	高性能コア
总占用	合計使用率
总览	概要
恢复系统睡眠失败：{}	システムのスリープ設定を復元できません：{}
我的	自分
截图已输出到 {}	スクリーンショットを{}に保存しました
所属应用：{}（{}）	アプリ：{}（{}）
所有内容先移到废纸篓。	すべて先にゴミ箱に移動します。
所有指标合成一个图标，点击弹出状态总览，可切到各项详情	すべての指標を1つのアイコンにまとめます。クリックで概要を開き、各指標の詳細に切り替えられます
所有检测目标都连不上。请检查网络连接，或者代理软件是否正常运行。	どの測定対象にも接続できません。ネットワーク接続とプロキシアプリの動作を確認してください。
所有用户	すべてのユーザー
所有用户与系统级的启动项需要管理员权限，请在系统设置的登录项中管理	全ユーザー・システムの起動項目には管理者権限が必要です。システム設定のログイン項目で管理してください
所有磁盘合计	全ディスク合計
手动	手動
手动下载	手動でダウンロード
打包版本、系统与辅助工具状态、主要设置、最近 3 天的运行日志和崩溃报告，反馈问题时附上；会去掉序列号、IP 与硬件地址	バージョン、システムとヘルパーの状態、主な設定、直近3日間のログとクラッシュレポートをまとめ、問題報告に添付できます。シリアル番号、IP、ハードウェアアドレスは除外します
打包生成的 .xcarchive，删除后无法重新符号化旧版本崩溃日志	ビルド時の.xcarchive。削除すると旧バージョンのクラッシュログをシンボル化できなくなります
打开 SMC 失败 ({})	SMCを開けませんでした（{}）
打开 XStats	XStatsを開く
打开 XStats 主窗口	XStatsのメインウインドウを開く
打开登录项设置	ログイン項目の設定を開く
打开网络详情时向 Cloudflare（1.1.1.1）或 ipify 查询一次公网地址，10 分钟内不重复请求；归属地、ASN、网络类型与纯净度由这台 Mac 直接向 cleanip.io 查询，只发送公网地址	ネットワーク詳細を開くとCloudflare（1.1.1.1）またはipifyで公開IPを取得します（10分に1回まで）。所在地、ASN、ネットワークの種類と信頼度は、このMacから公開IPのみをcleanip.ioに送信して取得します
打开进程页	プロセスを表示
打开通知设置	通知設定を開く
托管	ホスティング
执行中	実行中
扫描中	スキャン中
扫描中…	スキャン中…
扫描于 	スキャン日時 
抖动	ジッター
抖音	Douyin
折线历史	折れ線履歴
折线是最近 30 次采样（约 1 分钟）的走势	折れ線は直近30回の測定（約1分）の推移です
拷贝	コピー
拷贝 PID	PIDをコピー
拷贝 PID {}	PID {}をコピー
持续时间	継続時間
按下快捷键…	ショートカットを押してください…
按单核满载为 100% 计：{}	1コアの最大使用率を100%とした値：{}
按应用	アプリ別
按应用汇总	アプリ別に集計
按文件夹	フォルダ別
按系统代理访问国际网站	国外サイトはシステムプロキシ経由
按系统休眠	システムに従ってスリープ
按规则分流	ルールで振り分け
按进程	プロセス別
换一台 Mac 登录后，菜单栏、外观、通知与快捷键等偏好会自动恢复。不登录也能使用全部功能。	別のMacでサインインすると、メニューバー、外観、通知、ショートカットなどの設定が自動で復元されます。サインインなしでも全機能を使えます。
换入 / 换出	スワップイン / アウト
掌托	パームレスト
排队程度	実行待ち
探测目标	測定対象
探针一直没有返回结果，稍后再试	測定ノードから結果が返りませんでした。後でもう一度お試しください
探针数量，一个探针占一次额度	測定ノード数。1ノードにつき利用枠を1回消費します
接入 Cloudflare 的网站能实测出口，其余按国内 / 国际规则推断	Cloudflare利用サイトでは出口を実測し、それ以外は国内・国外ルールで推定します
接口	インターフェイス
接通电源	電源に接続中
推出	取り出す
推出中…	取り出し中…
推断	推定
搜索名称、PID 或用户	名前、PID、ユーザーで検索
搜索应用	アプリを検索
搜索语言	言語を検索
撤销	取り消す
收起	折りたたむ
改回开机后累计	起動後の累計に戻す
政府	政府
教育网	教育ネットワーク
散热模式	冷却モード
数据	データ
数据来源	データ提供元
整体风格	全体のスタイル
整体风格套用到所有项目。想让某个项目不一样，在下面“显示项目”里给它单独选一种，比如 CPU 用圆环、风扇用数字。	全体のスタイルをすべての項目に適用します。個別に変更するには、下の「表示項目」でCPUはリング、ファンは数値などを選べます。
整机	システム全体
整机 {}	システム全体 {}
整机功耗	システム消費電力
文件系统检查	ファイルシステム検査
文件系统结构完好，没有发现错误	ファイルシステムの構造は正常です。エラーはありません
新版本未通过 Apple 公证检查，已放弃安装	新しいバージョンがAppleの公証確認に失敗したため、インストールを中止しました
新版本需要 macOS {} 或更高版本	新しいバージョンにはmacOS {}以降が必要です
无	なし
无 Bundle ID	Bundle IDなし
无法创建电源断言（{}）	電源アサーションを作成できません（{}）
无法创建签名要求	署名要件を作成できません
无法打开	開けません
无法打开登录窗口	サインインウインドウを開けません
无法推出“{}”：{}	「{}」を取り出せません：{}
无法确认是否经过代理	プロキシ使用を確認できません
无法移到废纸篓：{}	ゴミ箱に移動できません：{}
无法读取	読み取り不可
无法读取签名	署名を読み取れません
无法连接 WebDAV，请检查网络、地址和 HTTPS 证书	WebDAVに接続できません。ネットワーク、URL、HTTPS証明書を確認してください
无法连接辅助工具	ヘルパーに接続できません
无法连接辅助工具：{}	ヘルパーに接続できません：{}
无需清理	クリーンアップ不要
日志与崩溃报告	ログとクラッシュレポート
显卡信息	GPU情報
显示 / 隐藏主窗口	メインウインドウを表示 / 非表示
显示 {} 项	{}項目を表示
显示为 {}×{}	表示解像度 {}×{}
显示名称：{}	表示名：{}
显示器	ディスプレイ
显示序列号	シリアル番号を表示
显示项目	表示項目
暂时没有拿到评分，稍后会再试	評価を取得できませんでした。後で再試行します
更新内容	更新内容
更省电，负责后台和轻量任务	省電力でバックグラウンドや軽い処理を担当
替换后未找到应用	置き換え後にアプリが見つかりません
替换应用失败：{}	アプリを置き換えられません：{}
最低 {} · 最高 {} · 目标 {} RPM	最低 {} · 最高 {} · 目標 {} RPM
最大的文件	大きいファイル
最小化	最小化
最强	最強
最忙的核心	最も使用率の高いコア
最快，重活优先交给它们	最速で重い処理を優先的に担当
最近 24 小时	直近24時間
最近 60 秒	直近60秒
最近没有应用在读写磁盘	現在ディスクを読み書きしているアプリはありません
最近的内存压力走势	最近のメモリプレッシャー
最近错误	最新のエラー
最高	最大
最高 / 平均	最大 / 平均
最高温度	最高温度
服务器在 getopenstats.com，不上传任何监控数据；随时可以删除。	サーバーはgetopenstats.comにあります。監視データはアップロードせず、いつでもすべて削除できます。
服务器返回 {}	サーバーの応答 {}
服务器返回的数据格式不正确	サーバーの応答形式が正しくありません
未使用	未使用
未使用代理	プロキシ未使用
未保存的内容可能会丢失。强制退出会立即结束，不给应用保存的机会。	未保存の内容が失われる可能性があります。強制終了では保存の機会なく直ちに終了します。
未发现	見つかりません
未安装	未インストール
未完成的下载	未完了のダウンロード
未开启，Mac 按系统设置休眠	オフ。Macはシステム設定に従ってスリープします
未找到 AppleSMC 服务	AppleSMCサービスが見つかりません
未检出	未検出
未检测到可调节的风扇	調整可能なファンが見つかりません
未检测到风扇	ファンが検出されません
未知状态	不明な状態
未签名或临时签名	未署名または一時署名
未签名（开发构建）	未署名（開発ビルド）
未设置	未設定
未连接	未接続
未连接网络	ネットワーク未接続
本地 IPv4	ローカルIPv4
本地 IPv6	ローカルIPv6
本地快照	ローカルスナップショット
本地用量	ローカル使用量
本机 IP 这一小时还剩 {}/{} 次探针额度	このMacのIPの残り測定枠（今時間）：{}/{}
本机信息	このMacの情報
本机宽带	このMacの回線
本机网络	このMacのネットワーク
本机设置已上传	ローカル設定をアップロードしました
本次用掉 {}	今回の使用量 {}
机型	モデル
机型标识符	機種ID
机房	データセンター
机房 IP	データセンターIP
极好	非常に良い
极高风险	非常に高いリスク
构建	ビルド
查看	表示
查看{}详情	{}の詳細を表示
查看全部进程	すべてのプロセスを表示
查看包含的项目	含まれる項目を表示
查看完整更新日志	更新履歴をすべて表示
查看清理日志	クリーンアップログを表示
查询中…	検索中…
查询公网 IP	公開IPを取得
查询已关闭	取得はオフ
柱状历史	棒グラフ履歴
标签与数值同一行，最易读	ラベルと値を同じ行に表示する、読みやすい形式
标识	識別子
核心	コア
核心 {}	コア {}
核心 {}（{}）· {}	コア {}（{}）· {}
核心分工	コアの役割
核心数	コア数
核心最高温度；余量是离 100°C 还差多少度，越接近 0 越可能因过热降频	コアの最高温度。余裕は100°Cまでの残り温度で、0に近いほど過熱による性能低下が起きやすくなります
核心热力图	コアのヒートマップ
核心负载	コア負荷
检查	確認
检查 VPN 与代理是否生效、各网站从哪个出口出去	VPN・プロキシの動作と各サイトが使う出口を確認
检查中…	確認中…
检查完成，但没有得到明确结论	確認は完了しましたが、明確な結論は得られませんでした
检查更新	アップデートを確認
检查更新…	アップデートを確認…
检查更新失败	アップデートの確認に失敗しました
检查未能完成（退出码 {}）	確認が完了しませんでした（終了コード{}）
检测中 {}/{}	確認中 {}/{}
检测到 {}，但测试的网站都在直连，没有经过代理出口。	{}を検出しましたが、測定したサイトはすべてプロキシを経由せず直接接続しています。
模式	モード
模拟器	シミュレータ
模拟器缓存	シミュレータキャッシュ
正在上传设置…	設定をアップロード中…
正在下载	ダウンロード中
正在下载设置…	設定をダウンロード中…
正在使用	使用中
正在修改 DNS…	DNSを変更中…
正在同步	同期中
正在同步…	同期中…
正在安装，完成后 XStats 会自动重启。	インストール中です。完了するとXStatsが自動で再起動します。
正在导出…	書き出し中…
正在导出诊断信息…	診断情報を書き出し中…
正在扫描应用…	アプリをスキャン中…
正在收集走势…	推移を記録中…
正在本机生成…	このMacで生成中…
正在查找残留…	残留項目を検索中…
正在查询…	検索中…
正在核对启动盘的文件系统结构，通常几秒到几十秒	起動ディスクのファイルシステムを確認しています。通常、数秒から1分ほどかかります
正在核对校验值、开发者签名与 Apple 公证…	チェックサム、開発者署名、Apple公証を確認中…
正在检查…	確認中…
正在检查更新	アップデートを確認中
正在检测出口与分流…	出口と振り分けを確認中…
正在测 {}/{}	測定中 {}/{}
正在测上行	アップロードを測定中
正在测下行	ダウンロードを測定中
正在测延迟	遅延を測定中
正在清理…	クリーンアップ中…
正在移除…	削除中…
正在统计…	集計中…
正在统计各进程流量…	プロセス別の通信量を測定中…
正在计算可清理空间	クリーンアップ可能な容量を計算中
正在读取 SMART 信息；外置磁盘或不支持 NVMe SMART 的磁盘不显示	SMART情報を取得しています。外付けディスクやNVMe SMART非対応ディスクは表示しません
正在读取…	読み込み中…
正在读取传感器…	センサーを読み取り中…
正在读取进程…	プロセスを読み取り中…
正在读取风扇…	ファンを読み取り中…
正在释放…	解放中…
正常	正常
此刻各核心的占用；超过 60% 变橙色、85% 变红色	各コアの現在の使用率。60%超でオレンジ、85%超で赤になります
此设备没有可调节的风扇	このMacには調整可能なファンがありません
每个应用占整机 CPU 的比例：{} 个核心全部跑满为 100%，与顶部的总占用是同一把尺子。鼠标悬停在数值上可以看按单核计的占用（活动监视器的算法）	各アプリのCPU全体に対する割合です。全{}コアの最大使用時を100%とし、上の合計と同じ尺度です。値にポインタを重ねるとコア単位の使用率（アクティビティモニタ方式）を表示します
每个指标一个图标，点击弹出该项详情	指標ごとにアイコンを表示し、クリックで詳細を開きます
每分钟把主要指标的平均值与峰值写入本机数据库，保留 7 天，不上传	主要指標の平均値とピークを毎分ローカルデータベースに記録します。7日間保持し、アップロードしません。
每核 {}	コア当たり{}
每根柱子一个核心，按核心类型着色	コアごとに1本のバーを表示し、コアの種類で色分け
每点 {}	1点当たり{}
每秒让 CPU 从空闲中唤醒的次数，越高越耗电	CPUが毎秒アイドル状態から起動される回数。多いほど電力を消費します
每秒读写磁盘的字节数	1秒当たりのディスク読み書きバイト数
每行一个核心（共 {} 个），每列一次采样，颜色越深越忙；右侧粗条是此刻的占用	各行がコア（計{}個）、各列が測定時点です。色が濃いほど高負荷で、右側の太いバーは現在の使用率です
每项独立	個別に表示
比 30 秒前低 {}%	30秒前より{}%低下
比 30 秒前高 {}%	30秒前より{}%上昇
永久删除废纸篓中的内容，无法恢复	ゴミ箱の内容を完全に削除します。元に戻せません
沙盒容器	サンドボックスコンテナ
没有匹配的语言	一致する言語がありません
没有匹配的进程	一致するプロセスがありません
没有启动项	起動項目がありません
没有已连接的蓝牙设备	接続中のBluetoothデバイスはありません
没有检测到 VPN 或系统代理，所有流量都从本机网络直接出去。	VPNとシステムプロキシは検出されませんでした。すべての通信はこのネットワークから直接接続しています。
没有检测到显示器	ディスプレイが検出されません
没有电池	バッテリーなし
没有移动任何文件{}	ファイルは移動されませんでした{}
没有超过 50 MB 的文件	50 MBを超えるファイルはありません
流量历史	通信量の履歴
流量经过 {}，系统 DNS 可能由它接管，修改后不一定生效。	通信は{}を経由しており、システムDNSも管理されている可能性があります。変更が反映されない場合があります。
浅色	ライト
浅色菜单栏预览	ライトのメニューバープレビュー
测延迟	遅延を測定
测本机宽带、国内分省三网延迟与全球节点	回線速度、中国各省の3大通信事業者の遅延、世界のノードを測定
测试的网站都经 {} 的{}，没有暴露本机网络的地址。	測定したサイトはすべて{}の{}を経由しており、このネットワークのアドレスは公開されていません。
测速	速度測定
浏览器	ブラウザ
淘宝	Taobao
深色	ダーク
深色菜单栏预览	ダークのメニューバープレビュー
清理	クリーンアップ
清理中…	クリーンアップ中…
清理可回收的缓存内存（需要管理员授权或辅助工具）	回収可能なキャッシュメモリを解放（管理者の承認またはヘルパーが必要）
清理所选 {}	選択した{}をクリーンアップ
清空废纸篓	ゴミ箱を空にする
清除	消去
清除…	消去…
清除全部历史记录？	すべての履歴を消去しますか？
清除历史	履歴を消去
清除快捷键	ショートカットを消去
清除搜索	検索を消去
温度	温度
温度与风扇	温度とファン
温度传感器	温度センサー
温度单位	温度単位
满载	最大負荷
滥用记录	不正利用の報告
点击拷贝	クリックしてコピー
版本	バージョン
版本 {}	バージョン {}
版本 {}{}	バージョン {}{}
版本是 {}，清单写的是 {}	バージョンは{}ですが、一覧には{}と記載されています
版本清单格式不正确	バージョン一覧の形式が正しくありません
物理地址	ハードウェアアドレス
状态	状態
状态圆点	状態ドット
状态总览	状態の概要
状态正常	正常
状态良好	良好
现在	現在
现在没有本地快照	現在ローカルスナップショットはありません
用 Apple 智能解释	Apple Intelligenceで説明
用户	ユーザー
用户 {}	ユーザー {}
用户名	ユーザー名
用户资源库	ユーザーライブラリ
用系统图标代替文字标签	テキストラベルの代わりにシステムアイコンを使用
由 Apple 智能在这台 Mac 上生成，不联网；内容可能不准确，结束进程前请自行确认。	Apple IntelligenceがこのMac上でオフライン生成します。内容が不正確な場合があるため、プロセス終了前に確認してください。
由 SMC 与系统能耗统计读取；新款芯片不提供可靠的 CPU 单独功耗	SMCとシステムの電力統計から取得します。新しいチップではCPU単体の信頼できる電力値を取得できません
由 macOS 调节	macOSが調整
由辅助工具执行	ヘルパーが実行
电池	バッテリー
电池 {}	バッテリー {}
电池供电	バッテリー使用中
电池健康	バッテリーの状態
电池健康度下降	バッテリーの状態が低下
电池充电	バッテリー充電中
电池放电	バッテリー放電中
电池最大容量为 {}，续航会明显缩短。可以在“系统设置 › 电池”查看是否建议维修。	バッテリー最大容量は{}で、駆動時間が短くなっています。「システム設定 › バッテリー」で修理の推奨を確認できます。
电池最大容量低于 80%，每 30 天最多提醒一次	バッテリー最大容量が80%未満。通知は30日間に最大1回
电池温度	バッテリー温度
电池电量	バッテリー残量
电池设置	バッテリー設定
电源	電源
电源供电	電源アダプタ使用中
电源输入	アダプタ入力
电源适配器{}	電源アダプタ{}
电量	バッテリー残量
电量下限	残量の下限
电量与充电状态；没有电池的 Mac 显示蓝牙设备电量	残量と充電状態。バッテリーのないMacではBluetoothデバイスの残量を表示
电量低于 {}%，已关闭合盖运行	バッテリー残量が{}%未満のため、蓋閉じモードをオフにしました
电量历史	充電履歴
电量条	残量バー
登录以同步设置	サインインして設定を同期
登录启动项	ログイン起動項目
登录回调不正确	サインインのコールバックが正しくありません
登录已失效，请重新登录	セッションが期限切れです。もう一度サインインしてください
登录时启动	ログイン時に起動
登录时运行	ログイン時に実行
登录项设置	ログイン項目の設定
百度	Baidu
监控	監視
目标转速	目標回転数
直连	直接接続
相当于“磁盘工具”里的急救，但只检查不修改：核对启动盘的目录结构、文件分配与快照元数据是否一致。	ディスクユーティリティのFirst Aidに相当する読み取り専用の検査です。起動ディスクのディレクトリ構造、ファイル割り当て、スナップショットのメタデータの整合性を確認します。
省份	省
确认清理	クリーンアップを実行
确认通知能正常显示	通知が表示されるか確認
磁盘	ディスク
磁盘已用 {}	ディスク使用済み {}
磁盘报告了严重警告，建议尽快备份	ディスクに深刻な警告があります。早めにバックアップしてください
磁盘清理	ディスクのクリーンアップ
磁盘空间不足	ディスクの空き容量不足
磁盘空间偏紧	ディスクの空き容量が少なめ
社交	ソーシャル
移到废纸篓	ゴミ箱に移動
移到废纸篓？	ゴミ箱に移動しますか？
移动网络	モバイルネットワーク
移动网络 IP	モバイルIP
移动运营商	携帯通信事業者
空	空
空格	スペース
空闲	アイドル
空间占用	使用容量
窗口	ウインドウ
窗口状态	保存されたウインドウ状態
立即切换；显示器、应用名称等由系统提供的文字在下次启动时切换	すぐに切り替わります。ディスプレイやアプリの名前などmacOS提供の文字列は次回起動時に切り替わります
立即同步	今すぐ同期
竖向电量条表示当前占用比例	縦のバーで現在の使用率を表示
等待批准	承認待ち
等待选择	選択待ち
签名团队	署名チーム
签名方：{}	署名者：{}
签名校验未通过：{}	署名の検証に失敗しました：{}
粘贴	ペースト
系统	システム
系统代理	システムプロキシ
系统或其他用户的进程，XStats 不提供结束	システムまたは他のユーザーのプロセスのため、XStatsでは終了できません
系统服务	システムサービス
系统正在把内存写到磁盘，可能会变慢。可以关掉占用大的应用。	システムがメモリをディスクに書き出しており、遅くなる可能性があります。メモリ使用量の多いアプリを終了してください。
系统版号	システムビルド
系统电池设置…	システムのバッテリー設定…
系统级资源库（第三方驱动、辅助工具或后台服务）	システムライブラリ（他社製ドライバ、ヘルパー、バックグラウンドサービス）
系统维护	システムメンテナンス
系统自动	システム自動
系统自带的应用不能卸载	標準搭載のアプリはアンインストールできません
系统调节	システム制御
累计写入	累計書き込み
累计读取	累計読み取り
繁忙	ビジー
纯净度 {} 分	信頼度スコア {}
纯净度看信誉、来路、邻居与网络类型四项；机房 IP 常见信誉高、来路和类型偏低。数据来自 cleanip.io	信頼度は評判、経路、近隣IP、ネットワークの種類で評価します。データセンターIPは評判が高くても経路や種類の点数が低い傾向があります。提供：cleanip.io
线程	スレッド
线程 {}	スレッド {}
线程数（只能读取自己的进程）	スレッド数（自分のプロセスのみ）
经 Cloudflare {} 边缘节点	Cloudflare {}拠点経由
经 {}	{}経由
经 {} 直接连接	{}経由で直接接続
经代理	プロキシ経由
结束 {} 失败：{}	{}の終了に失敗しました：{}
结束“{}”？	「{}」を終了しますか？
结束它会注销当前用户，已禁止	終了するとログアウトされるため、禁止されています
结束进程…	プロセスを終了…
统一内存（CPU 与 GPU 共享）	ユニファイドメモリ（CPUとGPUで共有）
统计家目录里每个文件夹占多少空间，并找出最大的文件；只读取大小，不改动任何文件。文件多时需要几十秒。	ホームフォルダ内の各フォルダの使用容量と大きいファイルを調べます。サイズの読み取りのみでファイルは変更しません。ファイルが多いと1分ほどかかる場合があります。
继续运行	実行を続ける
绿色正常、橙色偏高（60% 以上）、红色很高（85% 以上）	緑は正常、オレンジは高め（60%超）、赤は非常に高い（85%超）
缓存	キャッシュ
缓存与日志直接删除，下载内容移到废纸篓。	キャッシュとログは直接削除し、ダウンロードはゴミ箱に移動します。
缓存也先移到废纸篓	キャッシュもゴミ箱に移動
编辑	編集
网站	サイト
网站分流	サイト別振り分け
网站没有接入 Cloudflare，读不到出口，按国内 / 国际规则归到对应出口	このサイトはCloudflareを利用しておらず出口を取得できないため、中国国内・国外ルールで分類しています
网络	ネットワーク
网络不通	接続なし
网络名称	ネットワーク名
网络已恢复	ネットワーク復旧
网络断开	ネットワーク切断
网络测速	ネットワーク速度測定
网络环境变了，下面是之前的结果，正在重新检测。	ネットワークが変わりました。以下は前の結果です。再確認しています。
网络类型	ネットワークの種類
网络详情打开时每秒 ping 一次，通了是绿格、不通是红格，显示最近 60 次	ネットワーク詳細を開いている間、毎秒pingします。接続可能なら緑、不可能なら赤で、直近60回を表示します
网络运营方	ネットワーク運営者
网络连接中断超过 20 秒，恢复后再提示一次	ネットワーク切断が20秒を超えた場合に通知し、復旧時にも通知します
网络连接已中断超过 20 秒。可以打开网络详情查看接口与路由器状态。	ネットワークが20秒以上切断されています。ネットワーク詳細でインターフェイスとルーターの状態を確認してください。
网络连接已经恢复。	ネットワーク接続が復旧しました。
网络：{}	ネットワーク：{}
网页数据	Webデータ
网页缓存与脚本缓存，不涉及 Cookie、历史记录和密码	Webとスクリプトのキャッシュです。Cookie、履歴、パスワードは変更しません
置信度	確度
联动	固定メモリ
能效核	高効率コア
腾讯 DNSPod	Tencent DNSPod
腾讯（119.29.29.29）	Tencent（119.29.29.29）
自 {} 起	{}以降
自动	自動
自动代理配置	自動プロキシ構成
自动检查更新	アップデートを自動確認
运行时静默	実行中に静かに確認
启动时	起動時
每日一次	毎日1回
每周一次	週に1回
每月一次	月に1回
从不	確認しない
自动检测	自動検出
自动（由路由器分配）	自動（ルーターから割り当て）
自定义	カスタム
自定义模式下 CPU 达到 {}°C 会自动交还系统控制；退出应用时风扇恢复自动。	カスタムモードではCPUが{}°Cに達するとシステム制御に戻ります。アプリ終了時もファンは自動制御に戻ります。
自定义转速时，CPU 达到该温度自动恢复系统控制	カスタム回転数の使用中、CPUがこの温度に達するとシステム制御に戻します
自己的进程为实际占用内存，系统进程为常驻内存	自分のプロセスは実使用メモリ、システムプロセスは常駐メモリを表示
致谢	謝辞
良好	良好
节点	ノード
芯片	チップ
菜单栏	メニューバー
菜单栏图标	メニューバーアイコン
菜单栏布局	メニューバーレイアウト
菜单栏里的图标可以调整顺序：按住 ⌘ 键拖动任意一个，松开后位置会一直保留。新开启的项目由系统安排位置，可能离其他图标较远，拖一下就能挪到一起。	メニューバーのアイコンは⌘を押しながらドラッグすると並べ替えられ、位置は保存されます。新しく有効にした項目はmacOSが配置するため、離れていたらドラッグで移動してください。
菜单栏里还没有开启任何项目。	メニューバーの項目はまだ有効になっていません。
菜单栏项目	メニューバー項目
菜单栏风格	メニューバースタイル
蓝牙设备	Bluetoothデバイス
蓝牙设备电量 {}%	Bluetoothデバイスの残量 {}%
蓝牙设备电量低	Bluetoothのバッテリー残量低下
蓝牙设备电量低时提示	Bluetoothのバッテリー低下を表示
覆盖远端设置？	リモートの設定を上書きしますか？
